,Province_NL,Arrondissement_NL,Arrondissement_FR,Municipality,Province,Province_FR,Province_DE,C_NIS5,Commune_NL,Commune_FR,Commune_DE,StatistischeSector_code_Secteurstatistique,Sector_NL,Sector_FR,Sector_DE,C_NIS6
0,Antwerpen,Antwerpen,Anvers,Aartselaar,Antwerpen,Anvers,Antwerpen,11001,Aartselaar,Aartselaar,Aartselaar,11001A00-,AARTSELAAR-CENTRUM,AARTSELAAR-CENTRUM,AARTSELAAR-CENTRUM,11001A
1,Antwerpen,Antwerpen,Anvers,Aartselaar,Antwerpen,Anvers,Antwerpen,11001,Aartselaar,Aartselaar,Aartselaar,11001A01-,DE LEEUWERIK,DE LEEUWERIK,DE LEEUWERIK,11001A
2,Antwerpen,Antwerpen,Anvers,Aartselaar,Antwerpen,Anvers,Antwerpen,11001,Aartselaar,Aartselaar,Aartselaar,11001A020,BUERSTEDE,BUERSTEDE,BUERSTEDE,11001A
3,Antwerpen,Antwerpen,Anvers,Aartselaar,Antwerpen,Anvers,Antwerpen,11001,Aartselaar,Aartselaar,Aartselaar,11001A030,YSSELAAR,YSSELAAR,YSSELAAR,11001A
4,Antwerpen,Antwerpen,Anvers,Aartselaar,Antwerpen,Anvers,Antwerpen,11001,Aartselaar,Aartselaar,Aartselaar,11001A042,KLEINE GRIPPE,KLEINE GRIPPE,KLEINE GRIPPE,11001A
5,Antwerpen,Antwerpen,Anvers,Aartselaar,Antwerpen,Anvers,Antwerpen,11001,Aartselaar,Aartselaar,Aartselaar,11001A052,LEUG,LEUG,LEUG,11001A
6,Antwerpen,Antwerpen,Anvers,Aartselaar,Antwerpen,Anvers,Antwerpen,11001,Aartselaar,Aartselaar,Aartselaar,11001A063,TEN DORPE,TEN DORPE,TEN DORPE,11001A
7,Antwerpen,Antwerpen,Anvers,Aartselaar,Antwerpen,Anvers,Antwerpen,11001,Aartselaar,Aartselaar,Aartselaar,11001A074,BRUINEN BAARD,BRUINEN BAARD,BRUINEN BAARD,11001A
8,Antwerpen,Antwerpen,Anvers,Aartselaar,Antwerpen,Anvers,Antwerpen,11001,Aartselaar,Aartselaar,Aartselaar,11001A091,KLEISTRAAT - OEVER,KLEISTRAAT - OEVER,KLEISTRAAT - OEVER,11001A
9,Antwerpen,Antwerpen,Anvers,Aartselaar,Antwerpen,Anvers,Antwerpen,11001,Aartselaar,Aartselaar,Aartselaar,11001A0MA,ZINKVAL,ZINKVAL,ZINKVAL,11001A
10,Antwerpen,Antwerpen,Anvers,Aartselaar,Antwerpen,Anvers,Antwerpen,11001,Aartselaar,Aartselaar,Aartselaar,11001A0PA,CLEYDAEL-KASTEEL,CLEYDAEL-KASTEEL,CLEYDAEL-KASTEEL,11001A
11,Antwerpen,Antwerpen,Anvers,Aartselaar,Antwerpen,Anvers,Antwerpen,11001,Aartselaar,Aartselaar,Aartselaar,11001A10-,'T HEIKEN,'T HEIKEN,'T HEIKEN,11001A
12,Antwerpen,Antwerpen,Anvers,Aartselaar,Antwerpen,Anvers,Antwerpen,11001,Aartselaar,Aartselaar,Aartselaar,11001A173,NOTELAAN,NOTELAAN,NOTELAAN,11001A
13,Antwerpen,Antwerpen,Anvers,Aartselaar,Antwerpen,Anvers,Antwerpen,11001,Aartselaar,Aartselaar,Aartselaar,11001A190,DE REUKENS,DE REUKENS,DE REUKENS,11001A
14,Antwerpen,Antwerpen,Anvers,Aartselaar,Antwerpen,Anvers,Antwerpen,11001,Aartselaar,Aartselaar,Aartselaar,11001A20-,DE KOEKOEK,DE KOEKOEK,DE KOEKOEK,11001A
15,Antwerpen,Antwerpen,Anvers,Aartselaar,Antwerpen,Anvers,Antwerpen,11001,Aartselaar,Aartselaar,Aartselaar,11001A21-,VIERPALEN,VIERPALEN,VIERPALEN,11001A
16,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,1100212MQ,STABROEK,STABROEK,STABROEK,110021
17,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002A00-,ANTWERPEN KERN - OUDE STAD (SPAANSE WALLEN ),ANTWERPEN KERN - OUDE STAD (SPAANSE WALLEN ),ANTWERPEN KERN - OUDE STAD (SPAANSE WALLEN ),11002A
18,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002A01-,KLAPDORP - BROUWERSVLIET,KLAPDORP - BROUWERSVLIET,KLAPDORP - BROUWERSVLIET,11002A
19,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002A02-,GROENPLAATS (SPAANSE WALLEN),GROENPLAATS (SPAANSE WALLEN),GROENPLAATS (SPAANSE WALLEN),11002A
20,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002A03-,HOOGSTRAAT (SPAANSE WALLEN),HOOGSTRAAT (SPAANSE WALLEN),HOOGSTRAAT (SPAANSE WALLEN),11002A
21,Antwerpen,Antwerpen,Anvers,Antwerpen,Antwerpen,Anvers,Antwerpen,11002,Antwerpen,Anvers,Antwerpen,11002A04-,OUDAAN (SPAANSE WALLEN),OUDAAN (SPAANSE WALLEN),OUDAAN (SPAANSE WALLEN),11002A
