```
| DATE DE DECES | IDENTIFICATION DES PERSONNES DECEDEES OU ABSENTES | DROITS DE SUCCESSION | DROITS DE MUTATION PAR DECES | DATE | RECETTE | OBSERVATIONS |
|---------------|--------------------------------------------------|----------------------|------------------------------|------|---------|--------------|
|               | NOM        | PRENOM | DOMICILE | DATE DE L'ACTE | NATURE DES BIENS | VALEUR | DATE | NATURE DES BIENS | VALEUR | DATE |         |              |
|---------------|------------|--------|----------|----------------|------------------|--------|------|------------------|--------|------|---------|--------------|
| 6             | 1897       | Archennes | Archennes | Archennes      | Archennes         | Archennes | Archennes | Archennes         | Archennes | Archennes | Archennes | Archennes    |
| 6             | 1897       | Autre-Église | Autre-Église | Autre-Église  | Autre-Église      | Autre-Église | Autre-Église | Autre-Église      | Autre-Église | Autre-Église | Autre-Église | Autre-Église |
| 6             | 1897       | Baisy-Thy | Baisy-Thy | Baisy-Thy      | Baisy-Thy         | Baisy-Thy | Baisy-Thy | Baisy-Thy         | Baisy-Thy | Baisy-Thy | Baisy-Thy | Baisy-Thy    |
| 6             | 1897       | Baulers | Baulers | Baulers         | Baulers            | Baulers | Baulers | Baulers            | Baulers | Baulers | Baulers  | Baulers      |
| 6             | 1897       | Beauvechain | Beauvechain | Beauvechain  | Beauvechain       | Beauvechain | Beauvechain | Beauvechain       | Beauvechain | Beauvechain | Beauvechain | Beauvechain |
| 6             | 1897       | Bierges | Bierges | Bierges         | Bierges            | Bierges | Bierges | Bierges            | Bierges | Bierges | Bierges  | Bierges      |
| 6             | 1897       | Bierghes | Bierghes | Bierghes       | Bierghes           | Bierghes | Bierghes | Bierghes          | Bierghes | Bierghes | Bierghes | Bierghes     |
| 6             | 1897       | Biez | Biez | Biez               | Biez               | Biez | Biez | Biez               | Biez | Biez | Biez    | Biez         |
| 6             | 1897       | Bomal | Bomal | Bomal             | Bomal              | Bomal | Bomal | Bomal             | Bomal | Bomal | Bomal   | Bomal        |
| 6             | 1897       | Bonlez | Bonlez | Bonlez           | Bonlez             | Bonlez | Bonlez | Bonlez           | Bonlez | Bonlez | Bonlez  | Bonlez       |
| 6             | 1897       | Bornival | Bornival | Bornival       | Bornival           | Bornival | Bornival | Bornival         | Bornival | Bornival | Bornival | Bornival     |
| 6             | 1897       | Bossut-Gottechain | Bossut-Gottechain | Bossut-Gottechain | Bossut-Gottechain | Bossut-Gottechain | Bossut-Gottechain | Bossut-Gottechain | Bossut-Gottechain | Bossut-Gottechain | Bossut-Gottechain | Bossut-Gottechain |
| 6             | 1897       | Bousval | Bousval | Bousval         | Bousval            | Bousval | Bousval | Bousval          | Bousval | Bousval | Bousval | Bousval      |
| 6             | 1897       | Braine-l'Alleud | Braine-l'Alleud | Braine-l'Alleud | Braine-l'Alleud | Braine-l'Alleud | Braine-l'Alleud | Braine-l'Alleud | Braine-l'Alleud | Braine-l'Alleud | Braine-l'Alleud | Braine-l'Alleud |
| 6             | 1897       | Braine-le-Château | Braine-le-Château | Braine-le-Château | Braine-le-Château | Braine-le-Château |
