```
| Commune                      | Actif  | Passif | Rest  | Droit de succession |
|------------------------------|--------|--------|-------|---------------------|
| Archennes                    | 1000   | 200    | 800   | 800                 |
| Autre-Église                 | 1500   | 300    | 1200  | 1200                |
| Baisy-Thy                    | 2000   | 500    | 1500  | 1500                |
| Baulers                      | 2500   | 600    | 1900  | 1900                |
| Beauvechain                  | 3000   | 700    | 2300  | 2300                |
| Bierges                      | 3500   | 800    | 2700  | 2700                |
| Bierghes                     | 4000   | 900    | 3100  | 3100                |
| Biez                         | 4500   | 1000   | 3500  | 3500                |
| Bomal                        | 5000   | 1100   | 3900  | 3900                |
| Bonlez                       | 5500   | 1200   | 4300  | 4300                |
| Bornival                     | 6000   | 1300   | 4700  | 4700                |
| Bossut-Gottechain            | 6500   | 1400   | 5100  | 5100                |
| Bousval                      | 7000   | 1500   | 5500  | 5500                |
| Braine-l'Alleud              | 7500   | 1600   | 5900  | 5900                |
| Braine-le-Château            | 8000   | 1700   | 6300  | 6300                |
| Céroux-Mousty                | 8500   | 1800   | 6700  | 6700                |
| Chastre-Villeroux-Blanmont   | 9000   | 1900   | 7100  | 7100                |
| Chaumont-Gistoux             | 9500   | 2000   | 7500  | 7500                |
| Clabecq                      | 10000  | 2100   | 7900  | 7900                |
| Corbais                      | 10500  | 2200   | 8300  | 8300                |
| Corroy-le-Grand              | 11000  | 2300   | 8700  | 8700                |
| Cortil-Noirmont              | 11500  | 2400   | 9100  | 9100                |
| Court-Saint-Étienne          | 12000  | 2500   | 9500  | 9500                |
| Couture-Saint-Germain        | 12500  | 2600   | 9900  | 9900                |
| Dion-le-Mont                 | 13000  | 2700   | 10300 | 10300               |
| Dion-le-Val                  | 13500  | 2800   | 10700 | 10700               |
| Dongelberg                   | 14000  | 2900   | 11100 | 11100               |
| Énines                       | 14500  | 3000   | 11500 | 11500               |
| Folx-les-Caves               | 15000  | 3100   | 11900 | 11900               |
| Geest-Gérompont-Petit-Rosière| 15500  | 3200   | 12300 | 12300               |
| Genappe                      | 16000  | 3300   | 12700 | 12700               |
| Gentinnes                    | 16500  | 3400   | 13100 | 13100               |
| Genval                       | 17000  | 3500   | 13500 | 13500               |
| Glabais                      | 17500  | 3600   | 13900 | 13900               |
| Glimes                       | 18000  | 3700   | 14300 | 14300               |
| Grand-Rosière-Hottomont      | 18500  | 3800   | 14700 | 14700               |
| Grez-Doiceau                 | 19000  | 3900   |
