| NUMÉROS | ENREGISTREMENT. | RECETTE |
|---------|-----------------|---------|
|         |                 | Livres  | Sols | Deniers |
|---------|-----------------|---------|
| 262     | Report          |         | 17   | 88      |
|         |                 |         |      |         |
| 263     |                 |         | 9    | 13      |
|         |                 |         |      |         |
| 264     |                 |         | 9    | 13      |
|         |                 |         |      |         |
|         |                 |         | 146  | 39      |
|---------|-----------------|---------|
| 269     | Report          |         | 10   |         |
|         |                 |         |      |         |
|         |                 |         | 1    |         |
|         |                 |         | 1    |         |
|         |                 |         | 1    |         |
|         |                 |         | 1    |         |
|         |                 |         | 1    |         |
|         |                 |         | 1    |         |
|         |                 |         | 1    |         |
|         |                 |         | 1    |         |
|         |                 |         | 1    |         |
|         |                 |         | 1    |         |
|         |                 |         | 1    |         |
|         |                 |         | 1    |         |
|         |                 |         | 1    |         |
|         |                 |         | 1    |         |
|         |                 |         | 1    |         |
|         |                 |         | 1    |         |
|         |                 |         | 1    |         |
|         |                 |         | 1    |         |
|         |                 |         | 1    |         |
|         |                 |         | 1    |         |
|         |                 |         | 1    |         |
|         |                 |         | 1    |         |
|         |                 |         | 1    |         |
|         |                 |         | 1    |         |
|         |                 |         | 1    |         |
|         |                 |         | 1    |         |
|         |                 |         | 1    |         |
|         |                 |         | 1    |         |
|         |                 |         | 1    |         |
|         |                 |         | 1    |         |
|         |                 |         | 1    |         |
|         |                 |         | 1    |         |
|         |                 |         | 1    |         |
|         |                 |         | 1    |         |
|         |                 |         | 1    |         |
|         |                 |         | 1    |         |
|         |                 |         | 1    |         |
|         |                 |         | 1    |         |
|         |                 |         | 1    |         |
|         |                 |         | 1    |         |
|         |                 |         | 1    |         |
|         |                 |         | 1    |         |
|         |                 |         | 1    |         |
|         |                 |         | 1    |         |
|         |                 |         | 1    |         |
|         |                 |         | 1    |         |
|         |                 |         | 1    |         |
|         |                 |         | 1    |         |
|         |                 |         | 1    |         |
|         |                 |         | 1    |         |
|         |                 |         | 1    |         |
|         |                 |         | 1    |         |
|         |                 |         | 1    |         |
|         |                 |         | 1    |         |
|         |                 |         | 1    |         |
|         |                 |         | 1    |         |
|         |                 |         | 1    |         |
|         |                 |         | 1    |         |
|         |                 |         | 1    |         |
|         |                 |         | 1    |         |
|         |                 |         | 1    |         |
|         |                 |         | 1    |         |
|         |                 |         | 1    |         |
|
