```txt
| Localité                       | Actif  | Passif | Rest  | Droit de succession |
|--------------------------------|--------|--------|-------|---------------------|
| Archennes                      | 10000  | 2000   | 8000  | 800                 |
| Autre-Église                   | 15000  | 5000   | 10000 | 1000                |
| Baisy-Thy                      | 20000  | 7000   | 13000 | 1300                |
| Baulers                        | 25000  | 10000  | 15000 | 1500                |
| Beauvechain                    | 30000  | 15000  | 15000 | 1500                |
| Bierges                        | 35000  | 20000  | 15000 | 1500                |
| Bierghes                       | 40000  | 25000  | 15000 | 1500                |
| Biez                           | 45000  | 30000  | 15000 | 1500                |
| Bomal                          | 50000  | 35000  | 15000 | 1500                |
| Bonlez                         | 55000  | 40000  | 15000 | 1500                |
| Bornival                       | 60000  | 45000  | 15000 | 1500                |
| Bossut-Gottechain              | 65000  | 50000  | 15000 | 1500                |
| Bousval                        | 70000  | 55000  | 15000 | 1500                |
| Braine-l'Alleud                | 75000  | 60000  | 15000 | 1500                |
| Braine-le-Château              | 80000  | 65000  | 15000 | 1500                |
| Céroux-Mousty                  | 85000  | 70000  | 15000 | 1500                |
| Chastre-Villeroux-Blanmont     | 90000  | 75000  | 15000 | 1500                |
| Chaumont-Gistoux               | 95000  | 80000  | 15000 | 1500                |
| Clabecq                        | 100000 | 85000  | 15000 | 1500                |
| Corbais                        | 105000 | 90000  | 15000 | 1500                |
| Corroy-le-Grand                | 110000 | 95000  | 15000 | 1500                |
| Cortil-Noirmont                | 115000 | 100000 | 15000 | 1500                |
| Court-Saint-Étienne            | 120000 | 105000 | 15000 | 1500                |
| Couture-Saint-Germain          | 125000 | 110000 | 15000 | 1500                |
| Dion-le-Mont                   | 130000 | 115000 | 15000 | 1500                |
| Dion-le-Val                    | 135000 | 120000 | 15000 | 1500                |
| Dongelberg                     | 140000 | 125000 | 15000 | 1500                |
| Énines                         | 145000 | 130000 | 15000 | 1500                |
| Folx-les-Caves                 | 150000 | 135000 | 15000 | 1500                |
| Geest-Gérompont-Petit-Rosière  | 155000 | 140000 | 15000 | 1500                |
| Genappe                        | 160000 | 145000 | 15000 | 1500                |
| Gentinnes                      | 165000 | 150000 | 15000 | 1500                |
| Genval                         | 170000 | 155000 | 15000 | 1500                |
| Glabais                        | 175000 | 160000 | 15000 | 1500                |
| Glimes                         | 180000 | 165000 | 15000 | 1500                |
| Grand-Rosière-Hottomont        | 185000 | 170000 | 15000 | 1500                |
| Grez-Doiceau                   | 190000 | 175000 | 15000 | 1500                |
| Hamme-Mille                    | 195000 | 180000 | 15000 | 1500                |
| Haut-Ittre                     | 200000 | 185000 | 15000 | 1500                |
| Hévillers                      | 205000 | 190000 | 15000 | 1500                |
| Houtain-le-Val                 | 210000 | 195000 | 15000 | 1500                |
| Huppaye                        | 215000 | 200000 | 15000 | 1500                |
| Incourt                        | 220000 | 205000 | 15000 | 1500                |
| Ittre                          | 225000 | 210000 | 15000 | 1500                |
| Jandrain-Jandrenouille         | 230000 | 215000 | 15000 | 1500                |
| Jauche                         | 235000 | 220000 | 15000 | 1500                |
| Jauchelette                    | 240000 | 225000 | 15000 | 1500                |
| Jodoigne                       | 245000 | 230000 | 15000 | 1500                |
| Jodoigne-Souveraine            | 250000 | 235000 | 15000 | 1500                |
| L'Écluse                       | 255000 | 240000 | 15000 | 1500                |
| La Hulpe                       | 260000 | 245000 | 15000 | 1500                |
| Lasne-Chapelle-Saint-Lambert   | 265000 | 250000 | 15000 | 1500                |
| Lathuy                         | 270000 | 255000 | 15000 | 1500                |
| Lillois-Witterzée              | 275000 | 260000 | 15000 | 1500                |
| Limal                          | 280000 | 265000 | 15000 | 1500                |
| Limelette                      | 285000 | 270000 | 15000 | 1500                |
| Linsmeau                       | 290000 | 275000 | 15000 | 1500                |
| Longueville                    | 295000 | 280000 | 15000 | 1500                |
| Loupoigne                      | 300000 | 285000 | 15000 | 1500                |
| Mélin                          | 305000 | 290000 | 15000 | 1500                |
| Malèves-Sainte-Marie-Wastines  | 310000 | 295000 | 15000 | 1500                |
| Maransart                      | 315000 | 300000 | 15000 | 1500                |
| Marbais                        | 320000 | 305000 | 15000 | 1500                |
| Marilles                       | 325000 | 310000 | 15000 | 1500                |
| Mellery                        | 330000 | 315000 | 15000 | 1500                |
| Monstreux                      | 335000 | 320000 | 15000 | 1500                |
| Mont-Saint-André               | 340000 | 325000 | 15000 | 1500                |
| Mont-Saint-Guibert             | 345000 | 330000 | 15000 | 1500                |
| Neerheylissem                  | 350000 | 335000 | 15000 | 1500                |
| Nethen                         | 355000 | 340000 | 15000 | 1500                |
| Nivelles                       | 360000 | 345000 | 15000 | 1500                |
| Nil-Saint-Vincent-Saint-Martin | 365000 | 350000 | 15000 | 1500                |
| Nodebais                       | 370000 | 355000 | 15000 | 1500                |
| Noduwez                        | 375000 | 360000 | 15000 | 1500                |
| Ohain                          | 380000 | 365000 | 15000 | 1500                |
| Oisquercq                      | 385000 | 370000 | 15000 | 1500                |
| Ophain-Bois-Seigneur-Isaac     | 390000 | 375000 | 15000 | 1500                |
| Opheylissem                    | 395000 | 380000 | 15000 | 1500                |
| Opprebais                      | 400000 | 385000 | 15000 | 1500                |
| Orbais                         | 405000 | 390000 | 15000 | 1500                |
```
