```
NOM                | PRÉNOMS
-------------------|----------------
Archennes          | Archennes
Autre-Église       | Autre-Église
Baisy-Thy          | Baisy-Thy
Baulers            | Baulers
Beauvechain        | Beauvechain
Bierges            | Bierges
Bierghes           | Bierghes
Biez               | Biez
Bomal              | Bomal
Bonlez             | Bonlez
Bornival           | Bornival
Bossut-Gottechain  | Bossut-Gottechain
Bousval            | Bousval
Braine-l'Alleud    | Braine-l'Alleud
Braine-le-Château  | Braine-le-Château
Céroux-Mousty      | Céroux-Mousty
Chastre-Villeroux-Blanmont | Chastre-Villeroux-Blanmont
Chaumont-Gistoux   | Chaumont-Gistoux
Clabecq            | Clabecq
Corbais            | Corbais
Corroy-le-Grand    | Corroy-le-Grand
Cortil-Noirmont    | Cortil-Noirmont
Court-Saint-Étienne| Court-Saint-Étienne
Couture-Saint-Germain | Couture-Saint-Germain
Dion-le-Mont       | Dion-le-Mont
Dion-le-Val        | Dion-le-Val
Dongelberg         | Dongelberg
Énines             | Énines
Folx-les-Caves     | Folx-les-Caves
Geest-Gérompont-Petit-Rosière | Geest-Gérompont-Petit-Rosière
Genappe            | Genappe
Gentinnes          | Gentinnes
Genval             | Genval
Glabais            | Glabais
Glimes             | Glimes
Grand-Rosière-Hottomont | Grand-Rosière-Hottomont
Grez-Doiceau       | Grez-Doiceau
Hamme-Mille        | Hamme-Mille
Haut-Ittre         | Haut-Ittre
Hévillers          | Hévillers
Houtain-le-Val     | Houtain-le-Val
Huppaye            | Huppaye
Incourt            | Incourt
Ittre              | Ittre
Jandrain-Jandrenouille | Jandrain-Jandrenouille
Jauche             | Jauche
Jauchelette        | Jauchelette
Jodoigne           | Jodoigne
Jodoigne-Souveraine | Jodoigne-Souveraine
L'Écluse           | L'Écluse
La Hulpe           | La Hulpe
Lasne-Chapelle-Saint-Lambert | Lasne-Chapelle-Saint-Lambert
Lathuy             | Lathuy
Lillois-Witterzée  | Lillois-Witterzée
Limal              | Limal
Limelette          | Limelette
Linsmeau           | Linsmeau
Longueville        | Longueville
Loupoigne          | Loupoigne
Mélin              | Mélin
Malèves-Sainte-Marie-Wastines | Malèves-Sainte-Marie-Wastines
Maransart          | Maransart
Marbais            | Marbais
Marilles           | Marilles
Mellery            | Mellery
Monstreux          | Monstreux
Mont-Saint-André   | Mont-Saint-André
Mont-Saint-Guibert | Mont-Saint-Guibert
Neerheylissem      | Neerheylissem
Nethen             | Nethen
Nivelles           | Nivelles
Nil-Saint-Vincent-Saint-Martin | Nil-Saint-Vincent-Saint-Martin
Nodebais           | Nodebais
Noduwez            | Noduwez
Ohain              | Ohain
Oisquercq          | Oisquercq
Ophain-Bois-Seigneur-Isaac | Ophain-Bois-Seigneur-Isaac
Opheylissem        | Opheylissem
Opprebais          | Opprebais
Orbais             | Orbais
Orp-le-Grand       | Orp-le-Grand
Ottignies          | Ottignies
Perwez             | Perwez
Piétrain           | Piétrain
Piétrebais         | Piétrebais
Plancenoit         | Plancenoit
Quenast            | Quenast
Ramillies-Offus    | Ramillies-Offus
Rixensart          | Rixensart
Rebecq             | Rebecq
Rosières           | Rosières
