,Human,GPT4o,GPT4o cc,GPT4,GPT4 cc,GPT3.5,GPT3.5 cc,EasyOCR,EasyOCR cc,Pytesseract,Pytesseract cc,KerasOCR,KerasOCR cc
Human,0.0,1.2718240022659302,1.1240657567977905,1.0721205472946167,1.1014903783798218,1.082585334777832,1.0823278427124023,1.096477746963501,1.087837815284729,1.0665398836135864,1.0695528984069824,0.9654218554496765,0.9654218554496765
GPT4o,1.0257583856582642,0.0,1.0376079082489014,1.0661553144454956,1.0228832960128784,1.0411664247512817,1.0216717720031738,1.0189753770828247,1.0236318111419678,0.9890756011009216,0.9647924304008484,0.9710144996643066,0.9657443761825562
GPT4o cc,1.1257485151290894,1.259730577468872,0.0,1.1166306734085083,1.0269460678100586,1.139194130897522,1.0613772869110107,1.1042944192886353,1.1018099784851074,1.0392156839370728,1.0591317415237427,0.9646258354187012,0.9578231573104858
GPT4,1.0629669427871704,1.186766266822815,1.1035218238830566,0.0,1.0021344423294067,1.0168918371200562,1.0501600503921509,1.0426894426345825,1.0405550003051758,1.0779081583023071,1.01280677318573,0.9564032554626465,0.9645776748657227
GPT4 cc,1.138664722442627,1.3013100624084473,1.083728313446045,1.096962571144104,0.0,1.1068140268325806,1.069141149520874,1.152610421180725,1.1140142679214478,1.1055381298065186,1.112081527709961,0.9643387794494629,0.9628528952598572
GPT3.5,1.082585334777832,1.0897666215896606,1.1166965961456299,1.0807899236679077,1.078994631767273,0.0,0.6822262406349182,1.0269299745559692,0.9892280101776123,1.0646319389343262,0.9533213376998901,0.9676840305328369,0.9515260457992554
GPT3.5 cc,1.1867704391479492,1.375,1.1632485389709473,1.1522247791290283,1.1423016786575317,0.6473594307899475,0.0,1.1569620370864868,1.1514403820037842,1.1232432126998901,1.1322373151779175,0.9609261751174927,0.9652677178382874
EasyOCR,1.2176871299743652,1.3698979616165161,1.2244898080825806,1.2227784395217896,1.2202380895614624,1.1966527700424194,1.165816307067871,0.0,1.115646243095398,1.1386363506317139,1.142006754875183,0.9666666388511658,0.9566666483879089
EasyOCR cc,1.2374038696289062,1.405636191368103,1.2476515769958496,1.2404580116271973,1.2015371322631836,1.1978260278701782,1.1947053670883179,1.1398783922195435,0.0,1.154913306236267,1.1725021600723267,0.9645270109176636,0.9510135054588318
Pytesseract,1.447741985321045,1.518709659576416,1.3677419424057007,1.41853928565979,1.3651612997055054,1.432367205619812,1.34064519405365,1.292903184890747,1.289032220840454,0.0,1.2129032611846924,0.953153133392334,0.9567567706108093
Pytesseract cc,1.332449197769165,1.5024549961090088,1.3150557279586792,1.3557143211364746,1.345070481300354,1.4312669038772583,1.2962356805801392,1.263405442237854,1.2783985137939453,1.1989796161651611,0.0,0.9483747482299805,0.9483747482299805
KerasOCR,6.176990985870361,6.52212381362915,6.274336338043213,6.2123894691467285,5.743362903594971,6.267441749572754,5.876106262207031,5.1327433586120605,5.053097248077393,4.681416034698486,4.38938045501709,0.0,0.8495575189590454
KerasOCR cc,6.176990985870361,6.486725807189941,6.230088710784912,6.265486717224121,5.734513282775879,6.162790775299072,5.902654647827148,5.079646110534668,4.982300758361816,4.69911527633667,4.38938045501709,0.8495575189590454,0.0
