,Human,GPT4o,GPT4o mini,GPT4,GPT4 turbo,GPT3.5 turbo,Claude,EasyOCR,Pytesseract,KerasOCR
Human,0.8299608202935828,0.7409215397835626,0.7507882826899802,0.7500864633439659,0.7357741108087814,0.7563975789065582,0.7676330874613203,0.8726082247053916,0.8559260045124233,0.8894391570549426
GPT4o,0.8299608202935828,0.7409215397835626,0.7507882826899802,0.7500864633439659,0.7357741108087814,0.7563975789065582,0.7676330874613203,0.8726082247053916,0.8559260045124233,0.8894391570549426
GPT4o mini,0.8299608202935828,0.7409215397835626,0.7507882826899802,0.7500864633439659,0.7357741108087814,0.7563975789065582,0.7676330874613203,0.8726082247053916,0.8559260045124233,0.8894391570549426
GPT4,0.8299608202935828,0.7409215397835626,0.7507882826899802,0.7500864633439659,0.7357741108087814,0.7563975789065582,0.7676330874613203,0.8726082247053916,0.8559260045124233,0.8894391570549426
GPT4 turbo,0.8299608202935828,0.7409215397835626,0.7507882826899802,0.7500864633439659,0.7357741108087814,0.7563975789065582,0.7676330874613203,0.8726082247053916,0.8559260045124233,0.8894391570549426
GPT3.5 turbo,0.8299608202935828,0.7409215397835626,0.7507882826899802,0.7500864633439659,0.7357741108087814,0.7563975789065582,0.7676330874613203,0.8726082247053916,0.8559260045124233,0.8894391570549426
Claude,0.8299608202935828,0.7409215397835626,0.7507882826899802,0.7500864633439659,0.7357741108087814,0.7563975789065582,0.7676330874613203,0.8726082247053916,0.8559260045124233,0.8894391570549426
EasyOCR,0.8299608202935828,0.7409215397835626,0.7507882826899802,0.7500864633439659,0.7357741108087814,0.7563975789065582,0.7676330874613203,0.8726082247053916,0.8559260045124233,0.8894391570549426
Pytesseract,0.8299608202935828,0.7409215397835626,0.7507882826899802,0.7500864633439659,0.7357741108087814,0.7563975789065582,0.7676330874613203,0.8726082247053916,0.8559260045124233,0.8894391570549426
KerasOCR,0.8299608202935828,0.7409215397835626,0.7507882826899802,0.7500864633439659,0.7357741108087814,0.7563975789065582,0.7676330874613203,0.8726082247053916,0.8559260045124233,0.8894391570549426
