,Human,GPT4o,GPT4o cc,GPT4,GPT4 cc,GPT3.5,GPT3.5 cc,EasyOCR,EasyOCR cc,Pytesseract,Pytesseract cc,KerasOCR,KerasOCR cc
Human,0,349,231,207,243,221,406,252,251,252,276,255,257
GPT4o,349,0,347,344,360,354,376,418,418,410,415,428,428
GPT4o cc,231,347,0,156,160,175,354,239,240,232,275,239,240
GPT4,207,344,156,0,192,81,368,231,237,169,270,155,155
GPT4 cc,243,360,160,192,0,198,319,256,256,251,277,257,258
GPT3.5,221,354,175,81,198,0,385,231,236,166,271,113,113
GPT3.5 cc,406,376,354,368,319,385,0,449,449,452,448,456,457
EasyOCR,252,418,239,231,256,231,449,0,223,228,275,227,229
EasyOCR cc,251,418,240,237,256,236,449,223,0,236,275,233,233
Pytesseract,252,410,232,169,251,166,452,228,236,0,254,166,165
Pytesseract cc,276,415,275,270,277,271,448,275,275,254,0,269,271
KerasOCR,255,428,239,155,257,113,456,227,233,166,269,0,76
KerasOCR cc,257,428,240,155,258,113,457,229,233,165,271,76,0
