,Human,GPT4o,GPT4o mini,GPT4,GPT4 turbo,GPT3.5 turbo,Claude,EasyOCR,Pytesseract,KerasOCR
Human,0.8768870706968824,0.8475041081285756,0.8507601332876935,0.8505285329035086,0.845805456566898,0.8526112010391642,0.8563189188622358,0.8909607141527792,0.8854555814890996,0.8965149218281309
GPT4o,0.8768870706968824,0.8475041081285756,0.8507601332876935,0.8505285329035086,0.845805456566898,0.8526112010391642,0.8563189188622358,0.8909607141527792,0.8854555814890996,0.8965149218281309
GPT4o mini,0.8768870706968824,0.8475041081285756,0.8507601332876935,0.8505285329035086,0.845805456566898,0.8526112010391642,0.8563189188622358,0.8909607141527792,0.8854555814890996,0.8965149218281309
GPT4,0.8768870706968824,0.8475041081285756,0.8507601332876935,0.8505285329035086,0.845805456566898,0.8526112010391642,0.8563189188622358,0.8909607141527792,0.8854555814890996,0.8965149218281309
GPT4 turbo,0.8768870706968824,0.8475041081285756,0.8507601332876935,0.8505285329035086,0.845805456566898,0.8526112010391642,0.8563189188622358,0.8909607141527792,0.8854555814890996,0.8965149218281309
GPT3.5 turbo,0.8768870706968824,0.8475041081285756,0.8507601332876935,0.8505285329035086,0.845805456566898,0.8526112010391642,0.8563189188622358,0.8909607141527792,0.8854555814890996,0.8965149218281309
Claude,0.8768870706968824,0.8475041081285756,0.8507601332876935,0.8505285329035086,0.845805456566898,0.8526112010391642,0.8563189188622358,0.8909607141527792,0.8854555814890996,0.8965149218281309
EasyOCR,0.8768870706968824,0.8475041081285756,0.8507601332876935,0.8505285329035086,0.845805456566898,0.8526112010391642,0.8563189188622358,0.8909607141527792,0.8854555814890996,0.8965149218281309
Pytesseract,0.8768870706968824,0.8475041081285756,0.8507601332876935,0.8505285329035086,0.845805456566898,0.8526112010391642,0.8563189188622358,0.8909607141527792,0.8854555814890996,0.8965149218281309
KerasOCR,0.8768870706968824,0.8475041081285756,0.8507601332876935,0.8505285329035086,0.845805456566898,0.8526112010391642,0.8563189188622358,0.8909607141527792,0.8854555814890996,0.8965149218281309
