id,bleu,precisions,brevity_penalty,length_ratio,translation_length,reference_length
1_1,0.0,"[0.0, 0.0, 0.0, 0.0]",6.969175280117518e-05,0.0945945945945946,7,74
1_3,0.0,"[0.058823529411764705, 0.0, 0.0, 0.0]",1.0,2.4285714285714284,17,7
1_4,0.0,"[0.05, 0.0, 0.0, 0.0]",0.7046880897187133,0.7407407407407407,20,27
1_5,0.0,"[0.0, 0.0, 0.0, 0.0]",0.20774818714360088,0.3888888888888889,7,18
1_6,0.0,"[0.2857142857142857, 0.0, 0.0, 0.0]",1.0,1.1666666666666667,7,6
1_7,0.0,"[0.2857142857142857, 0.0, 0.0, 0.0]",1.0,1.0,7,7
1_8,0.0,"[0.2857142857142857, 0.0, 0.0, 0.0]",1.0,1.0,7,7
1_9,0.0,"[0.05, 0.0, 0.0, 0.0]",1.0,2.857142857142857,20,7
1_10,0.0,"[0.2222222222222222, 0.0, 0.0, 0.0]",0.6411803884299546,0.6923076923076923,18,26
1_11,0.0,"[0.11764705882352941, 0.0, 0.0, 0.0]",0.8890097654027757,0.8947368421052632,17,19
1_13,0.0,"[0.0, 0.0, 0.0, 0.0]",1.0,2.8333333333333335,17,6
2_1,0.0,"[0.0, 0.0, 0.0, 0.0]",6.969175280117518e-05,0.0945945945945946,7,74
2_2,0.0,"[0.05, 0.0, 0.0, 0.0]",1.0,10.0,20,2
2_3,0.0,"[0.3157894736842105, 0.1111111111111111, 0.0, 0.0]",0.6227038648477501,0.6785714285714286,19,28
2_4,0.0,"[0.15789473684210525, 0.0, 0.0, 0.0]",0.8101577349324267,0.8260869565217391,19,23
2_5,0.0,"[0.14285714285714285, 0.0, 0.0, 0.0]",0.15611804531597107,0.35,7,20
2_8,0.0,"[0.14285714285714285, 0.05, 0.0, 0.0]",1.0,1.05,21,20
2_9,0.0,"[0.14285714285714285, 0.0, 0.0, 0.0]",0.08816268936235745,0.2916666666666667,7,24
2_10,0.0,"[0.42857142857142855, 0.16666666666666666, 0.0, 0.0]",1.0,1.1666666666666667,7,6
2_11,0.0,"[0.05263157894736842, 0.0, 0.0, 0.0]",1.0,3.1666666666666665,19,6
2_13,0.0,"[0.14285714285714285, 0.0, 0.0, 0.0]",0.1353352832366127,0.3333333333333333,7,21
2_14,0.0,"[0.05, 0.0, 0.0, 0.0]",1.0,3.3333333333333335,20,6
3_1,0.0,"[0.0, 0.0, 0.0, 0.0]",0.26914634872918386,0.43243243243243246,32,74
3_2,0.0,"[0.05555555555555555, 0.0, 0.0, 0.0]",0.8007374029168082,0.8181818181818182,18,22
3_3,0.0,"[0.09523809523809523, 0.0, 0.0, 0.0]",0.8668778997501817,0.875,21,24
3_4,0.0,"[0.14285714285714285, 0.0, 0.0, 0.0]",0.10170139230422684,0.30434782608695654,7,23
3_5,0.0,"[0.42857142857142855, 0.16666666666666666, 0.0, 0.0]",1.0,1.1666666666666667,7,6
3_6,0.0,"[0.0, 0.0, 0.0, 0.0]",1.0,2.5714285714285716,18,7
3_7,0.0,"[0.23809523809523808, 0.05, 0.0, 0.0]",1.0,1.05,21,20
3_8,0.0,"[0.17647058823529413, 0.0, 0.0, 0.0]",0.49367278838913026,0.5862068965517241,17,29
3_9,0.0,"[0.14285714285714285, 0.0, 0.0, 0.0]",0.11731916609425078,0.3181818181818182,7,22
3_10,0.0,"[0.0625, 0.0, 0.0, 0.0]",1.0,2.6666666666666665,16,6
3_13,0.0,"[0.0, 0.0, 0.0, 0.0]",0.15611804531597107,0.35,7,20
4_1,0.0,"[0.0, 0.0, 0.0, 0.0]",6.969175280117518e-05,0.0945945945945946,7,74
4_2,0.0,"[0.047619047619047616, 0.0, 0.0, 0.0]",1.0,3.5,21,6
4_3,0.0,"[0.05405405405405406, 0.0, 0.0, 0.0]",1.0,1.608695652173913,37,23
4_4,0.0,"[0.14285714285714285, 0.0, 0.0, 0.0]",0.10170139230422684,0.30434782608695654,7,23
4_5,0.0,"[0.42857142857142855, 0.16666666666666666, 0.0, 0.0]",1.0,1.1666666666666667,7,6
4_6,0.0,"[0.047619047619047616, 0.0, 0.0, 0.0]",1.0,3.5,21,6
4_7,0.0,"[0.23529411764705882, 0.0, 0.0, 0.0]",0.5553063730019506,0.6296296296296297,17,27
4_8,0.0,"[0.0, 0.0, 0.0, 0.0]",0.20774818714360088,0.3888888888888889,7,18
4_9,0.0,"[0.42857142857142855, 0.16666666666666666, 0.0, 0.0]",1.0,1.1666666666666667,7,6
4_10,0.0,"[0.42857142857142855, 0.16666666666666666, 0.0, 0.0]",1.0,1.0,7,7
4_12,0.0,"[0.21052631578947367, 0.05555555555555555, 0.0, 0.0]",0.7686205265937356,0.7916666666666666,19,24
4_13,0.0,"[0.14285714285714285, 0.0, 0.0, 0.0]",0.08816268936235745,0.2916666666666667,7,24
5_1,0.0,"[0.0, 0.0, 0.0, 0.0]",1.1967291556046029e-05,0.08108108108108109,6,74
5_2,0.0,"[0.0625, 0.0, 0.0, 0.0]",1.0,16.0,16,1
5_3,0.0,"[0.13636363636363635, 0.0, 0.0, 0.0]",0.6951439283988786,0.7333333333333333,22,30
5_4,0.0,"[0.23529411764705882, 0.0, 0.0, 0.0]",0.49367278838913026,0.5862068965517241,17,29
5_5,0.0,"[0.07407407407407407, 0.0, 0.0, 0.0]",1.0,1.173913043478261,27,23
5_6,0.0,"[0.18181818181818182, 0.0625, 0.0, 0.0]",1.0,1.5714285714285714,33,21
5_7,0.0,"[0.14285714285714285, 0.0, 0.0, 0.0]",0.1353352832366127,0.3333333333333333,7,21
5_8,0.0,"[0.05555555555555555, 0.0, 0.0, 0.0]",1.0,2.5714285714285716,18,7
5_9,0.0,"[0.16666666666666666, 0.058823529411764705, 0.0, 0.0]",0.573753420737433,0.6428571428571429,18,28
5_10,0.0,"[0.14285714285714285, 0.0, 0.0, 0.0]",0.07642628699076812,0.28,7,25
5_11,0.0,"[0.0, 0.0, 0.0, 0.0]",1.0,3.1666666666666665,19,6
5_12,0.0,"[0.06060606060606061, 0.0, 0.0, 0.0]",1.0,1.434782608695652,33,23
5_14,0.0,"[0.2, 0.05263157894736842, 0.0, 0.0]",1.0,1.1111111111111112,20,18
6_1,0.0,"[0.0, 0.0, 0.0, 0.0]",6.969175280117518e-05,0.0945945945945946,7,74
6_4,0.0,"[0.19047619047619047, 0.05, 0.0, 0.0]",1.0,1.2352941176470589,21,17
6_5,0.0,"[0.058823529411764705, 0.0, 0.0, 0.0]",1.0,5.666666666666667,17,3
6_6,0.0,"[0.14285714285714285, 0.0, 0.0, 0.0]",0.36787944117144233,0.5,7,14
6_7,0.0,"[0.13636363636363635, 0.0, 0.0, 0.0]",1.0,1.2941176470588236,22,17
6_8,0.0,"[0.42857142857142855, 0.16666666666666666, 0.0, 0.0]",1.0,1.0,7,7
6_9,0.0,"[0.14285714285714285, 0.0, 0.0, 0.0]",0.1353352832366127,0.3333333333333333,7,21
6_10,0.0,"[0.0, 0.0, 0.0, 0.0]",1.0,2.7142857142857144,19,7
6_11,0.0,"[0.0, 0.0, 0.0, 0.0]",1.0,2.25,18,8
6_13,0.0,"[0.2222222222222222, 0.058823529411764705, 0.0, 0.0]",0.9459594689067654,0.9473684210526315,18,19
7_1,0.0,"[0.0, 0.0, 0.0, 0.0]",6.969175280117518e-05,0.0945945945945946,7,74
7_2,0.0,"[0.25, 0.0, 0.0, 0.0]",1.0,1.3333333333333333,8,6
7_4,0.0,"[0.5, 0.2, 0.0, 0.0]",0.846481724890614,0.8571428571428571,6,7
7_5,0.0,"[0.2857142857142857, 0.0, 0.0, 0.0]",0.11731916609425078,0.3181818181818182,7,22
7_9,0.0,"[0.14285714285714285, 0.0, 0.0, 0.0]",0.1353352832366127,0.3333333333333333,7,21
7_11,0.0,"[0.42857142857142855, 0.16666666666666666, 0.0, 0.0]",1.0,1.0,7,7
7_12,0.0,"[0.0, 0.0, 0.0, 0.0]",1.0,3.0,21,7
7_13,0.0,"[0.09090909090909091, 0.047619047619047616, 0.0, 0.0]",0.7967034698934615,0.8148148148148148,22,27
8_1,0.0,"[0.0, 0.0, 0.0, 0.0]",6.969175280117518e-05,0.0945945945945946,7,74
8_2,0.0,"[0.05263157894736842, 0.0, 0.0, 0.0]",1.0,3.1666666666666665,19,6
8_3,0.0,"[0.22727272727272727, 0.0, 0.0, 0.0]",0.7967034698934615,0.8148148148148148,22,27
8_5,0.0,"[0.2857142857142857, 0.1, 0.0, 0.0]",0.909156442876713,0.9130434782608695,21,23
8_6,0.0,"[0.2, 0.0, 0.0, 0.0]",0.36787944117144233,0.5,15,30
8_7,0.0,"[0.2631578947368421, 0.0, 0.0, 0.0]",0.8539396656235351,0.8636363636363636,19,22
8_8,0.0,"[0.3181818181818182, 0.047619047619047616, 0.0, 0.0]",1.0,1.0,22,22
8_10,0.0,"[0.2894736842105263, 0.16216216216216217, 0.05555555555555555, 0.0]",1.0,1.7272727272727273,38,22
8_11,0.0,"[0.23809523809523808, 0.0, 0.0, 0.0]",0.8668778997501817,0.875,21,24
8_12,0.0,"[0.14285714285714285, 0.0, 0.0, 0.0]",0.11731916609425078,0.3181818181818182,7,22
8_13,0.0,"[0.42857142857142855, 0.16666666666666666, 0.0, 0.0]",0.5647181220077593,0.6363636363636364,7,11
9_1,0.0,"[0.0, 0.0, 0.0, 0.0]",6.969175280117518e-05,0.0945945945945946,7,74
9_2,0.0,"[0.04, 0.0, 0.0, 0.0]",1.0,3.5714285714285716,25,7
