,bleu,precisions,brevity_penalty,length_ratio,translation_length,reference_length,id,file
1_0,0.0,"[0.203125, 0.015873015873015872, 0.0, 0.0]",0.25283959580474646,0.42105263157894735,64,152,1_0,1
1_1,0.0,"[0.0410958904109589, 0.013888888888888888, 0.0, 0.0]",1.0,10.428571428571429,73,7,1_1,1
1_2,0.44632361378533286,"[0.5555555555555556, 0.5, 0.42857142857142855, 0.3333333333333333]",1.0,1.2857142857142858,9,7,1_2,1
1_3,0.0,"[0.34782608695652173, 0.09090909090909091, 0.0, 0.0]",0.8403699701308981,0.8518518518518519,23,27,1_3,1
1_4,0.0,"[0.18181818181818182, 0.0, 0.0, 0.0]",0.5292133415000504,0.6111111111111112,11,18,1_4,1
1_5,0.0,"[0.2857142857142857, 0.0, 0.0, 0.0]",1.0,1.1666666666666667,7,6,1_5,1
1_6,0.44632361378533286,"[0.5555555555555556, 0.5, 0.42857142857142855, 0.3333333333333333]",1.0,1.2857142857142858,9,7,1_6,1
1_7,0.3655552228545123,"[0.625, 0.42857142857142855, 0.3333333333333333, 0.2]",1.0,1.1428571428571428,8,7,1_7,1
1_8,0.41113361690051975,"[0.5714285714285714, 0.5, 0.4, 0.25]",1.0,1.0,7,7,1_8,1
1_9,0.16081986819293687,"[0.38461538461538464, 0.16, 0.125, 0.08695652173913043]",1.0,1.0,26,26,1_9,1
1_10,0.0,"[0.21052631578947367, 0.0, 0.0, 0.0]",1.0,1.0,19,19,1_10,1
1_11,0.0,"[0.42857142857142855, 0.1, 0.05263157894736842, 0.0]",0.9534969548334766,0.9545454545454546,21,22,1_11,1
1_12,0.5081327481546147,"[0.6666666666666666, 0.6, 0.5, 0.3333333333333333]",1.0,1.0,6,6,1_12,1
1_13,0.0,"[0.15, 0.02564102564102564, 0.0, 0.0]",1.0,1.4285714285714286,40,28,1_13,1
2_0,0.0249259243395024,"[0.25333333333333335, 0.08108108108108109, 0.0410958904109589, 0.027777777777777776]",0.358198969348632,0.4934210526315789,75,152,2_0,2
2_1,0.0,"[0.0, 0.0, 0.0, 0.0]",1.0,35.5,71,2,2_1,2
