,Human,GPT4o,GPT4o mini,GPT4,GPT4 turbo,GPT3.5 turbo,Claude,EasyOCR,Pytesseract,KerasOCR
Human,1.647719782590866,1.3440033515294394,1.3155632476011911,1.3025524159272512,1.2697026054064433,1.379699315627416,1.4709520836671193,1.4477190872033436,1.419290413459142,0.8680672864119212
GPT4o,1.647719782590866,1.3440033515294394,1.3155632476011911,1.3025524159272512,1.2697026054064433,1.379699315627416,1.4709520836671193,1.4477190872033436,1.419290413459142,0.8680672864119212
GPT4o mini,1.647719782590866,1.3440033515294394,1.3155632476011911,1.3025524159272512,1.2697026054064433,1.379699315627416,1.4709520836671193,1.4477190872033436,1.419290413459142,0.8680672864119212
GPT4,1.647719782590866,1.3440033515294394,1.3155632476011911,1.3025524159272512,1.2697026054064433,1.379699315627416,1.4709520836671193,1.4477190872033436,1.419290413459142,0.8680672864119212
GPT4 turbo,1.647719782590866,1.3440033515294394,1.3155632476011911,1.3025524159272512,1.2697026054064433,1.379699315627416,1.4709520836671193,1.4477190872033436,1.419290413459142,0.8680672864119212
GPT3.5 turbo,1.647719782590866,1.3440033515294394,1.3155632476011911,1.3025524159272512,1.2697026054064433,1.379699315627416,1.4709520836671193,1.4477190872033436,1.419290413459142,0.8680672864119212
Claude,1.647719782590866,1.3440033515294394,1.3155632476011911,1.3025524159272512,1.2697026054064433,1.379699315627416,1.4709520836671193,1.4477190872033436,1.419290413459142,0.8680672864119212
EasyOCR,1.647719782590866,1.3440033515294394,1.3155632476011911,1.3025524159272512,1.2697026054064433,1.379699315627416,1.4709520836671193,1.4477190872033436,1.419290413459142,0.8680672864119212
Pytesseract,1.647719782590866,1.3440033515294394,1.3155632476011911,1.3025524159272512,1.2697026054064433,1.379699315627416,1.4709520836671193,1.4477190872033436,1.419290413459142,0.8680672864119212
KerasOCR,1.647719782590866,1.3440033515294394,1.3155632476011911,1.3025524159272512,1.2697026054064433,1.379699315627416,1.4709520836671193,1.4477190872033436,1.419290413459142,0.8680672864119212
