,Human,GPT4o,GPT4o mini,GPT4,GPT4 turbo,GPT3.5 turbo,Claude,EasyOCR,Pytesseract,KerasOCR
Human,295.8666666666667,206.43333333333334,355.6,224.06666666666666,210.96666666666667,303.0,510.46666666666664,276.4,228.53333333333333,223.8
GPT4o,295.8666666666667,206.43333333333334,355.6,224.06666666666666,210.96666666666667,303.0,510.46666666666664,276.4,228.53333333333333,223.8
GPT4o mini,295.8666666666667,206.43333333333334,355.6,224.06666666666666,210.96666666666667,303.0,510.46666666666664,276.4,228.53333333333333,223.8
GPT4,295.8666666666667,206.43333333333334,355.6,224.06666666666666,210.96666666666667,303.0,510.46666666666664,276.4,228.53333333333333,223.8
GPT4 turbo,295.8666666666667,206.43333333333334,355.6,224.06666666666666,210.96666666666667,303.0,510.46666666666664,276.4,228.53333333333333,223.8
GPT3.5 turbo,295.8666666666667,206.43333333333334,355.6,224.06666666666666,210.96666666666667,303.0,510.46666666666664,276.4,228.53333333333333,223.8
Claude,295.8666666666667,206.43333333333334,355.6,224.06666666666666,210.96666666666667,303.0,510.46666666666664,276.4,228.53333333333333,223.8
EasyOCR,295.8666666666667,206.43333333333334,355.6,224.06666666666666,210.96666666666667,303.0,510.46666666666664,276.4,228.53333333333333,223.8
Pytesseract,295.8666666666667,206.43333333333334,355.6,224.06666666666666,210.96666666666667,303.0,510.46666666666664,276.4,228.53333333333333,223.8
KerasOCR,295.8666666666667,206.43333333333334,355.6,224.06666666666666,210.96666666666667,303.0,510.46666666666664,276.4,228.53333333333333,223.8
