,Model,CER
0,gpt-4o,1.2730158567428589
1,gpt-4o,1.4138840436935425
2,gpt-4o,1.3518518209457397
3,gpt-4o,1.0971128940582275
4,gpt-4o,1.2571429014205933
5,gpt-4o,1.327510952949524
6,gpt-4o,1.0196629762649536
7,gpt-4o,1.291428565979004
8,gpt-4o,1.0675675868988037
9,gpt-4o,1.1013046503067017
10,claude-3-5-sonnet-20240620,1.237463116645813
11,claude-3-5-sonnet-20240620,1.2438524961471558
12,claude-3-5-sonnet-20240620,1.2095625400543213
13,claude-3-5-sonnet-20240620,1.2363847494125366
14,claude-3-5-sonnet-20240620,1.1957484483718872
15,claude-3-5-sonnet-20240620,1.207207202911377
16,claude-3-5-sonnet-20240620,1.1882530450820923
17,claude-3-5-sonnet-20240620,1.3871614933013916
18,claude-3-5-sonnet-20240620,1.3292516469955444
19,claude-3-5-sonnet-20240620,1.2857142686843872
20,EasyOCR,1.223829746246338
21,EasyOCR,1.2412974834442139
22,EasyOCR,1.236820101737976
23,EasyOCR,1.2228024005889893
24,EasyOCR,1.2707856893539429
25,EasyOCR,1.2072968482971191
26,EasyOCR,1.231123447418213
27,EasyOCR,1.2286198139190674
28,EasyOCR,1.191339373588562
29,EasyOCR,1.1672793626785278
30,Pytesseract,1.440000057220459
31,Pytesseract,1.2463127374649048
32,Pytesseract,1.283972144126892
33,Pytesseract,1.3711001873016357
34,Pytesseract,1.2496285438537598
35,Pytesseract,1.3933002948760986
36,Pytesseract,1.3949044942855835
37,Pytesseract,1.2926136255264282
38,Pytesseract,1.3548851013183594
39,Pytesseract,1.4095091819763184
40,KerasOCR,6.097345352172852
41,KerasOCR,6.2330098152160645
42,KerasOCR,5.956521511077881
43,KerasOCR,6.269662857055664
44,KerasOCR,6.166666507720947
45,KerasOCR,6.36274528503418
46,KerasOCR,6.329670429229736
47,KerasOCR,6.078260898590088
48,KerasOCR,6.243589878082275
49,KerasOCR,6.3176469802856445
