,Model,BLEU
0,gpt-4o,0.06989547332464915
1,gpt-4o,0.032244077763320014
2,gpt-4o,0.022660442125300898
3,gpt-4o,0.062715619553905
4,gpt-4o,0.05303642233221851
5,gpt-4o,0.0678845340340401
6,gpt-4o,0.017101816713541437
7,gpt-4o,0.053394186064840234
8,gpt-4o,0.038074961292507994
9,gpt-4o,0.0819603136539464
10,gpt-4o,0.06731718915175829
11,gpt-4o,0.06038661465156432
12,gpt-4o,0.07013052869640282
13,gpt-4o,0.07442112019401656
14,gpt-4o,0.08076602514241935
15,gpt-4o,0.013277372652824523
16,gpt-4o,0.05424062756962164
17,gpt-4o,0.05903309768458016
18,gpt-4o,0.09719442337759662
19,gpt-4o,0.0790058292051365
20,claude-3-5-sonnet-20240620,0.10629228033840704
21,claude-3-5-sonnet-20240620,0.12413715151879876
22,claude-3-5-sonnet-20240620,0.08692415489955439
23,claude-3-5-sonnet-20240620,0.04809816401367587
24,claude-3-5-sonnet-20240620,0.06892395880494301
25,claude-3-5-sonnet-20240620,0.1046266873034382
26,claude-3-5-sonnet-20240620,0.20720209408445078
27,claude-3-5-sonnet-20240620,0.08839113475680788
28,claude-3-5-sonnet-20240620,0.19004734959114908
29,claude-3-5-sonnet-20240620,0.11130478183198574
30,claude-3-5-sonnet-20240620,0.05875941859601763
31,claude-3-5-sonnet-20240620,0.07219847310261564
32,claude-3-5-sonnet-20240620,0.13279364236647
33,claude-3-5-sonnet-20240620,0.08166099867733864
34,claude-3-5-sonnet-20240620,0.09917798046191943
35,claude-3-5-sonnet-20240620,0.08895131518242248
36,claude-3-5-sonnet-20240620,0.12227821597377928
37,claude-3-5-sonnet-20240620,0.1223866205580506
38,claude-3-5-sonnet-20240620,0.11004877212381454
39,claude-3-5-sonnet-20240620,0.09316520166867445
40,EasyOCR,0.0
41,EasyOCR,0.0
42,EasyOCR,0.01042053911494654
43,EasyOCR,0.0
44,EasyOCR,0.0
45,EasyOCR,0.0
46,EasyOCR,0.0
47,EasyOCR,0.0
48,EasyOCR,0.0
49,EasyOCR,0.0
50,EasyOCR,0.0
51,EasyOCR,0.0
52,EasyOCR,0.0
53,EasyOCR,0.0
54,EasyOCR,0.0
55,EasyOCR,0.0
56,EasyOCR,0.0
57,EasyOCR,0.0
58,EasyOCR,0.0
59,EasyOCR,0.0
60,Pytesseract,0.0
61,Pytesseract,0.0
62,Pytesseract,0.0
63,Pytesseract,0.0
64,Pytesseract,0.0
65,Pytesseract,0.0
66,Pytesseract,0.0
67,Pytesseract,0.0
68,Pytesseract,0.0
69,Pytesseract,0.0
70,Pytesseract,0.0
71,Pytesseract,0.0
72,Pytesseract,0.0
73,Pytesseract,0.0
74,Pytesseract,0.0
75,Pytesseract,0.0
76,Pytesseract,0.0
77,Pytesseract,0.0
78,Pytesseract,0.0
79,Pytesseract,0.0
80,KerasOCR,0.0
81,KerasOCR,0.0
82,KerasOCR,0.0
83,KerasOCR,0.0
84,KerasOCR,0.0
85,KerasOCR,0.0
86,KerasOCR,0.0
87,KerasOCR,0.0
88,KerasOCR,0.0
89,KerasOCR,0.0
90,KerasOCR,0.0
91,KerasOCR,0.0
92,KerasOCR,0.0
93,KerasOCR,0.0
94,KerasOCR,0.0
95,KerasOCR,0.0
96,KerasOCR,0.0
97,KerasOCR,0.0
98,KerasOCR,0.0
99,KerasOCR,0.0
100,trOCR,0.0
101,trOCR,0.0
102,trOCR,0.0
103,trOCR,0.0
104,trOCR,0.0
105,trOCR,0.0
106,trOCR,0.0
107,trOCR,0.0
108,trOCR,0.0
109,trOCR,0.0
110,trOCR,0.0
111,trOCR,0.0
112,trOCR,0.0
113,trOCR,0.0
114,trOCR,0.0
115,trOCR,0.0
116,trOCR,0.0
117,trOCR,0.0
118,trOCR,0.0
119,trOCR,0.0
