,Model,CER
0,gpt-4o,0.7292225360870361
1,gpt-4o,0.3484518229961395
2,gpt-4o,0.6552354693412781
3,gpt-4o,0.6673751473426819
4,gpt-4o,0.5459057092666626
5,gpt-4o,1.8748754262924194
6,gpt-4o,3.6853108406066895
7,gpt-4o,0.45842498540878296
8,gpt-4o,0.8054187297821045
9,gpt-4o,0.6943255066871643
10,gpt-4o,0.7421383857727051
11,gpt-4o,0.759667158126831
12,gpt-4o,0.7511436343193054
13,gpt-4o,0.7045454382896423
14,gpt-4o,2.876436710357666
15,gpt-4o,0.68232661485672
16,gpt-4o,0.6510103940963745
17,gpt-4o,2.2780802249908447
18,gpt-4o,0.4790486991405487
19,gpt-4o,0.8717791438102722
20,claude-3-5-sonnet-20240620,0.667560338973999
21,claude-3-5-sonnet-20240620,0.3427823781967163
22,claude-3-5-sonnet-20240620,0.5043438673019409
23,claude-3-5-sonnet-20240620,0.5340063571929932
24,claude-3-5-sonnet-20240620,0.555831253528595
25,claude-3-5-sonnet-20240620,0.5274177193641663
26,claude-3-5-sonnet-20240620,0.6813559532165527
27,claude-3-5-sonnet-20240620,0.560492753982544
28,claude-3-5-sonnet-20240620,0.6490147709846497
29,claude-3-5-sonnet-20240620,0.5738757848739624
30,claude-3-5-sonnet-20240620,0.8078266978263855
31,claude-3-5-sonnet-20240620,0.5893294215202332
32,claude-3-5-sonnet-20240620,0.6221408843994141
33,claude-3-5-sonnet-20240620,0.6559917330741882
34,claude-3-5-sonnet-20240620,0.7034482955932617
35,claude-3-5-sonnet-20240620,0.5978747010231018
36,claude-3-5-sonnet-20240620,0.6084107160568237
37,claude-3-5-sonnet-20240620,0.6051459908485413
38,claude-3-5-sonnet-20240620,0.6160815358161926
39,claude-3-5-sonnet-20240620,0.6214724183082581
40,EasyOCR,0.7983914017677307
41,EasyOCR,0.8041866421699524
42,EasyOCR,0.7887517213821411
43,EasyOCR,0.8087141513824463
44,EasyOCR,0.8014888167381287
45,EasyOCR,0.8005982041358948
46,EasyOCR,0.8056496977806091
47,EasyOCR,0.802463710308075
48,EasyOCR,0.8177340030670166
49,EasyOCR,0.8051391839981079
50,EasyOCR,0.8280922174453735
51,EasyOCR,0.8061674237251282
52,EasyOCR,0.7895699739456177
53,EasyOCR,0.80888432264328
54,EasyOCR,0.8201149702072144
55,EasyOCR,0.8076062798500061
56,EasyOCR,0.8022938370704651
57,EasyOCR,0.8095002770423889
58,EasyOCR,0.8080407977104187
59,EasyOCR,0.8061349987983704
60,Pytesseract,0.8123324513435364
61,Pytesseract,0.8512865304946899
62,Pytesseract,0.8655692934989929
63,Pytesseract,0.8395324349403381
64,Pytesseract,0.8643506765365601
65,Pytesseract,0.8120638132095337
66,Pytesseract,0.805084764957428
67,Pytesseract,0.8565772175788879
68,Pytesseract,0.8214285969734192
69,Pytesseract,0.8345824480056763
70,Pytesseract,0.8022361993789673
71,Pytesseract,0.8135095238685608
72,Pytesseract,0.8115279078483582
73,Pytesseract,0.8347107172012329
74,Pytesseract,0.8143678307533264
75,Pytesseract,0.8366890549659729
76,Pytesseract,0.8448935151100159
77,Pytesseract,0.857991099357605
78,Pytesseract,0.8516421318054199
79,Pytesseract,0.8171778917312622
80,KerasOCR,0.8359249234199524
81,KerasOCR,0.8617531657218933
82,KerasOCR,0.8523091077804565
83,KerasOCR,0.8453772664070129
84,KerasOCR,0.8585608005523682
85,KerasOCR,0.8424725532531738
86,KerasOCR,0.8361582159996033
87,KerasOCR,0.8552573919296265
88,KerasOCR,0.8423645496368408
89,KerasOCR,0.8479657173156738
90,KerasOCR,0.8364779949188232
91,KerasOCR,0.8575624227523804
92,KerasOCR,0.8563586473464966
93,KerasOCR,0.8548553586006165
94,KerasOCR,0.8591954112052917
95,KerasOCR,0.8579418063163757
96,KerasOCR,0.8465319275856018
97,KerasOCR,0.8510638475418091
98,KerasOCR,0.8454133868217468
99,KerasOCR,0.8472392559051514
