Certainly! Here is the recreated table with the text from the image:

| NUMÉROS | ENREGISTREMENT | RECETTE |
|---------|-----------------|---------|
|         |                 | Livres  | Sols | Deniers |
|         |                 |         |      |         |
|         | Rapporté        |         | 19   | a       |
|         | ... toute propriété et autres de ... |         |         |         |
|         | ... un capital de ... |         |         |         |
|         | ... plus vous deux bois en ... |         |         |         |
|         | ... quatre vingt huit centimes |         | 7       | 88      |
|         | ... laquelle déclaration il a attribué ... |         |         |         |
|         | ... véritable et en figure de ce rapport |         |         |         |
|         | ... L. Croas |         |         |         |
|         | ... arrêté le 26 avril ... |         |         |         |
|         | ... arrêté le 27 avril ... |         |         |         |
|         | ... arrêté le 28 avril ... |         |         |         |
|         | ... arrêté le 29 avril ... |         |         |         |
| 263     | ... le 30 du dit en l'ouvrier ... |         |         |         |
|         | ... la commune de ... |         |         |         |
|         | ... laquelle il a attribué ... |         |         |         |
|         | ... en tout propriété ... |         |         |         |
|         | ... pourquoi il a payé ... |         | 11      | 26      |
|         | ... plus seize centimes ... |         | 1       | 13      |
|         | ... laquelle déclaration elle a attribué ... |         |         |         |
|         | ... en figure de ce rapport |         |         |         |
| 264     | ... le dit jour en l'ouvrier ... |         |         |         |
|         | ... lequel il a déclaré ... |         |         |         |
|         | ... en tout propriété ... |         |         |         |
|         | ... pourquoi il a payé ... |         | 11      | 25      |
|         | ... plus seize centimes ... |         | 1       | 13      |
|         | ... laquelle déclaration elle a attribué ... |         |         |         |
|         | ... en figure de ce rapport |         |         |         |
|         | ... |         | 141     | 39      |

Note: The text is partially obscured and difficult to read in some areas, so some parts are represented with ellipses (...).
