file,text,file_name,line_name,word_name,id
1_01_01,~bortn,1,1,1,1_1_1
1_01_02,8,1,1,2,1_1_2
1_01_03,vincytRul,1,1,3,1_1_3
1_01_04,oezouz,1,1,4,1_1_4
1_01_05,419,1,1,5,1_1_5
1_01_06,%rareeyy,1,1,6,1_1_6
1_02_01,Bocla,1,2,1,1_2_1
1_02_02,,1,2,2,1_2_2
1_02_03,voyh - Y2824,1,2,3,1_2_3
1_02_04,oclu8,1,2,4,1_2_4
1_02_05,4919,1,2,5,1_2_5
1_02_06,Yeevaù,1,2,6,1_2_6
1_03_01,139*,1,3,1,1_3_1
1_03_02,{smte oebbu,1,3,2,1_3_2
1_03_03,Joevrenk,1,3,3,1_3_3
1_03_04,sBepkonssjk,1,3,4,1_3_4
1_03_05,Of buin,1,3,5,1_3_5
1_03_06,'6989ùE,1,3,6,1_3_6
1_03_07,Œeoucozel,1,3,7,1_3_7
1_03_08,Yuwud,1,3,8,1_3_8
1_03_09,,1,3,9,1_3_9
1_03_10,Quli,1,3,10,1_3_10
1_03_11,22b,1,3,11,1_3_11
1_03_12,{04,1,3,12,1_3_12
1_03_13,,1,3,13,1_3_13
1_03_14,4/ 9*9;,1,3,14,1_3_14
1_03_15,2919 Yfr4,1,3,15,1_3_15
1_03_16,Xavcluu,1,3,16,1_3_16
1_03_17,308,1,3,17,1_3_17
1_04_01,B9x?,1,4,1,1_4_1
1_04_02,,1,4,2,1_4_2
1_04_03,Sefeore,1,4,3,1_4_3
1_04_04,tuly,1,4,4,1_4_4
1_04_05,Buù Q à PAud,1,4,5,1_4_5
1_04_06,P Janar '94,1,4,6,1_4_6
1_04_07,~Baolà,1,4,7,1_4_7
1_04_08,Bhuile,1,4,8,1_4_8
1_04_9,,1,4,9,1_4_9
1_04_10,{24R,1,4,10,1_4_10
1_04_11,24 [948,1,4,11,1_4_11
1_05_01,~dsreli',1,5,1,1_5_1
1_05_02,,1,5,2,1_5_2
1_05_03,bcmy,1,5,3,1_5_3
1_05_04,o2l,1,5,4,1_5_4
1_05_05,{419,1,5,5,1_5_5
1_05_06,dquel,1,5,6,1_5_6
1_06_01,Jbvuté,1,6,1,1_6_1
1_06_02,,1,6,2,1_6_2
1_06_03,bezhL u,1,6,3,1_6_3
1_06_04,Oelo [a,1,6,4,1_6_4
1_06_05,{919,1,6,5,1_6_5
1_06_06,dcely,1,6,6,1_6_6
1_07_01,Jguret,1,7,1,1_7_1
1_07_02,,1,7,2,1_7_2
1_07_03,fumtv,1,7,3,1_7_3
1_07_04,nuuem p1,1,7,4,1_7_4
1_07_05,1919,1,7,5,1_7_5
1_07_06,oussal,1,7,6,1_7_6
1_07_07,Fuszenxc_' ?,1,7,7,1_7_7
1_08_01,Jvclé,1,8,1,1_8_1
1_08_02,,1,8,2,1_8_2
1_08_03,,1,8,3,1_8_3
1_08_04,Y2Duep[es,1,8,4,1_8_4
1_08_05,(919,1,8,5,1_8_5
1_08_06,Oàhanebe,1,8,6,1_8_6
1_08_07,Fuseuccùl,1,8,7,1_8_7
1_09_01,399,1,9,1,1_9_1
1_09_02,624,1,9,2,1_9_2
1_09_03,9 æ2,1,9,3,1_9_3
1_09_04,(esmedx,1,9,4,1_9_4
1_09_05,Yepem,1,9,5,1_9_5
1_09_06,Y2/veblu,1,9,6,1_9_6
1_09_07,13 m2ri 29 14,1,9,7,1_9_7
1_09_08,?@psek ,1,9,8,1_9_8
1_09_09,{pia,1,9,9,1_9_9
1_09_10,,1,9,10,1_9_10
1_09_11,Quhzen,1,9,11,1_9_11
1_09_12,qkFa,1,9,12,1_9_12
1_09_13,30,1,9,13,1_9_13
1_09_14,89 [0,1,9,14,1_9_14
1_09_15,Yf 324919|,1,9,15,1_9_15
1_09_16,Y3 22o4 Sk,1,9,16,1_9_16
1_09_17,{0 Yineir 192,1,9,17,1_9_17
1_09_18,,1,9,18,1_9_18
1_10_01,hoo,1,10,1,1_10_1
1_10_02,8 ,1,10,2,1_10_2
1_10_03,Jigonseue,1,10,3,1_10_3
1_10_04,(Rxoul,1,10,4,1_10_4
1_10_05,Ojovy,1,10,5,1_10_5
1_10_06,Cerbeuc,1,10,6,1_10_6
1_10_07,88n91P,1,10,7,1_10_7
1_10_08,Ybcnaul,1,10,8,1_10_8
1_10_09,atu^,1,10,9,1_10_9
1_10_10,G90)ia,1,10,10,1_10_10
1_10_11,d14!%,1,10,11,1_10_11
1_10_12,659 093,1,10,12,1_10_12
