file,text,file_name,line_name,word_name,id
1_01_01,a,1,1,1,1_1_1
1_01_02,,1,1,2,1_1_2
1_01_03,e,1,1,3,1_1_3
1_01_04,o,1,1,4,1_1_4
1_01_05,g,1,1,5,1_1_5
1_01_06,d,1,1,6,1_1_6
1_02_01,o,1,2,1,1_2_1
1_02_02,l,1,2,2,1_2_2
1_02_03,u,1,2,3,1_2_3
1_02_04,c,1,2,4,1_2_4
1_02_05,l,1,2,5,1_2_5
1_02_06,c,1,2,6,1_2_6
1_03_01,3,1,3,1,1_3_1
1_03_02,d o,1,3,2,1_3_2
1_03_03,p,1,3,3,1_3_3
1_03_04,a,1,3,4,1_3_4
1_03_05,o,1,3,5,1_3_5
1_03_06,s,1,3,6,1_3_6
1_03_07,u,1,3,7,1_3_7
1_03_08,l,1,3,8,1_3_8
1_03_09,,1,3,9,1_3_9
1_03_10,q,1,3,10,1_3_10
1_03_11,2,1,3,11,1_3_11
1_03_12,t,1,3,12,1_3_12
1_03_13,s,1,3,13,1_3_13
1_03_14,g d,1,3,14,1_3_14
1_03_15,h,1,3,15,1_3_15
1_03_16,l,1,3,16,1_3_16
1_03_17,5,1,3,17,1_3_17
1_04_01,h,1,4,1,1_4_1
1_04_02,j,1,4,2,1_4_2
1_04_03,d,1,4,3,1_4_3
1_04_04,j,1,4,4,1_4_4
1_04_05,g a,1,4,5,1_4_5
1_04_06,g j i,1,4,6,1_4_6
1_04_07,b,1,4,7,1_4_7
1_04_08,b,1,4,8,1_4_8
1_04_9,,1,4,9,1_4_9
1_04_10,i,1,4,10,1_4_10
1_04_11,2 1,1,4,11,1_4_11
1_05_01,y,1,5,1,1_5_1
1_05_02,d,1,5,2,1_5_2
1_05_03,t,1,5,3,1_5_3
1_05_04,o,1,5,4,1_5_4
1_05_05,t,1,5,5,1_5_5
1_05_06,d,1,5,6,1_5_6
1_06_01,j,1,6,1,1_6_1
1_06_02,l,1,6,2,1_6_2
1_06_03,e c,1,6,3,1_6_3
1_06_04,o,1,6,4,1_6_4
1_06_05,1,1,6,5,1_6_5
1_06_06,d,1,6,6,1_6_6
1_07_01,u,1,7,1,1_7_1
1_07_02,l,1,7,2,1_7_2
1_07_03,h,1,7,3,1_7_3
1_07_04,n,1,7,4,1_7_4
1_07_05,l,1,7,5,1_7_5
1_07_06,l,1,7,6,1_7_6
1_07_07,u,1,7,7,1_7_7
1_08_01,b,1,8,1,1_8_1
1_08_02,l,1,8,2,1_8_2
1_08_03,c,1,8,3,1_8_3
1_08_04,n,1,8,4,1_8_4
1_08_05,1,1,8,5,1_8_5
1_08_06,d,1,8,6,1_8_6
1_08_07,o,1,8,7,1_8_7
1_09_01,6,1,9,1,1_9_1
1_09_02,b,1,9,2,1_9_2
1_09_03,g,1,9,3,1_9_3
1_09_04,o,1,9,4,1_9_4
1_09_05,l,1,9,5,1_9_5
1_09_06,n,1,9,6,1_9_6
1_09_07,1 v l,1,9,7,1_9_7
1_09_08,e,1,9,8,1_9_8
1_09_09,e,1,9,9,1_9_9
1_09_10,8,1,9,10,1_9_10
1_09_11,o,1,9,11,1_9_11
1_09_12,g,1,9,12,1_9_12
1_09_13,7,1,9,13,1_9_13
1_09_14,y c,1,9,14,1_9_14
1_09_15,g d,1,9,15,1_9_15
1_09_16,s p s,1,9,16,1_9_16
1_09_17,f l i,1,9,17,1_9_17
1_09_18,h,1,9,18,1_9_18
1_10_01,h,1,10,1,1_10_1
1_10_02,,1,10,2,1_10_2
1_10_03,m,1,10,3,1_10_3
1_10_04,b,1,10,4,1_10_4
1_10_05,o c,1,10,5,1_10_5
1_10_06,c,1,10,6,1_10_6
1_10_07,g d e,1,10,7,1_10_7
1_10_08,s,1,10,8,1_10_8
1_10_09,c,1,10,9,1_10_9
1_10_10,g,1,10,10,1_10_10
1_10_11,1,1,10,11,1_10_11
1_10_12,o,1,10,12,1_10_12
1_10_13,8 z,1,10,13,1_10_13
1_10_14,a a u,1,10,14,1_10_14
1_11_01,h,1,11,1,1_11_1
1_11_02,s,1,11,2,1_11_2
1_11_03,j,1,11,3,1_11_3
1_11_04,f,1,11,4,1_11_4
1_11_05,b o,1,11,5,1_11_5
1_11_06,r 1,1,11,6,1_11_6
1_11_07,b,1,11,7,1_11_7
1_11_08,p,1,11,8,1_11_8
1_11_09,,1,11,9,1_11_9
1_11_10,i,1,11,10,1_11_10
1_11_11,l,1,11,11,1_11_11
1_11_12,e,1,11,12,1_11_12
1_11_13,s,1,11,13,1_11_13
1_11_14,h,1,11,14,1_11_14
1_11_15,b a,1,11,15,1_11_15
1_11_16,e n,1,11,16,1_11_16
1_12_01,b,1,12,1,1_12_1
1_12_02,p,1,12,2,1_12_2
1_12_03,t,1,12,3,1_12_3
1_12_04,n,1,12,4,1_12_4
1_12_05,l,1,12,5,1_12_5
1_12_06,d,1,12,6,1_12_6
1_13_01,l,1,13,1,1_13_1
1_13_02,g e,1,13,2,1_13_2
1_13_03,g,1,13,3,1_13_3
1_13_04,r,1,13,4,1_13_4
1_13_05,y e,1,13,5,1_13_5
1_13_06,4 m 1,1,13,6,1_13_6
1_13_07,o,1,13,7,1_13_7
1_13_08,g i,1,13,8,1_13_8
1_13_09,i,1,13,9,1_13_9
1_13_10,f,1,13,10,1_13_10
1_13_11,g i,1,13,11,1_13_11
1_13_12,f j,1,13,12,1_13_12
1_13_13,l 9,1,13,13,1_13_13
1_13_14,a 1,1,13,14,1_13_14
1_13_15,s,1,13,15,1_13_15
