file,text,file_name,line_name,id
1_00,"DÉSIGNATION DES PERSONNES DÉCÉDÉES OU AlSENTES IMTE DU DicFs DROIS DE SUCCESSION DROIT INUMEROS fEÉROS RECETTE Cautios D.MIE DU DÉFËT ilu NOJS, PRÉNOMS Uonr Colluiirl; 205 DA TE dcs Yrail1q 9E '(UTatio; OBSLRVA TIONS de DÉCLAFAT1o85 D0IT5 4 AmEXDEs JtCTX[NT Doytoi F deccs {ca18""] DxÉROS dcs MUTatioy LX LIGXE DïRECTI dc la VALIUR de drs eroits (Lrs d{claralions 95/ Gcarent 1t1( qu: rosenlcu, convce 4u3 dcucn( àèC Qnncer (1 diCLAR GTCY; SOJS. PDÉNOJIS DOJIICILES DEVFUIIS DES Partils DÉCLARANTES 421 Fepitalon encibil;e 10: Mueufe Mns / A(senle rolonne on cf jabwnce. AGIIF. FASSIF IESTAXT du d6l 89'749ef DATE N"" Sorlai XFT , [jufualis de: drolu 18 dc rrclgcatlon Jo tca una",1,0,1_0
1_01,~Bcrta` 8 oetolz 1919 d4earuey vicytAul,1,1,1_1
1_02,Jbsucala & veyhmeuf ouoba  tg19 [eevœy,1,2,1_2
1_03,"891 ta HBevcenk ~Bepkonssjk oj hain Hgoucoal Yusu  Qubz 22mb t4 4*( 4/ Y Xav_lupu  36* 7919| ""ê9891 74 3*91;",1,3,1_3
1_04,"TulL Bouuù Q ""Janer ~aobà Bhuile RRXR 26 aplul 294 1948 |39x ! Sefesre",1,4,1_4
1_05,sueb' Q {cmEE oclb. 1419 dqune,1,5,1_5
1_06,Jsveaki @ bemlL un oelba_-1919 dexl',1,6,1_6
1_07,kszeté & fummlar nouembas_ 1919 ollsaams Vuserxe_' p,1,7,1_7
1_08,Joveal + Jeunx 2ouemba (949 Oùhanebe Fuuunù/,1,8,1_8
1_09,889 644 (esmedk Yenooz Yiveblu 43 m22 euupsek 2714 4auhien q4Yo (ao 89 fo Y3 2203 {0 'Jins 444 J92 5 9& #pzia 384919,1,9,1_9
1_10,hoo > [Jonseme (ooul OJox/ 38n91 { qtu^ G90fio dt41% 65909; | 4 ael 319 cerbeyc ~Ybcmneul,1,10,1_10
1_11,Hos > ôBrz Bzzàùn € kejcsir| ~PBazu ablug 2244 22{ > 26 4q0 9 Bowy Boaly s2u 281919 'Pulbla Hon,1,11,1_11
1_12,Jbsoah @  bzoû 9uve bo_ 1919 devevd,1,12,1_12
1_13,"40x qualq8 [Bodazk Gensbl Raùc déelaralions rec'ICcatlrea e{ suppléæentaltes eæPpud m28 B+ {Yx3Y Z2msel 14 avxilqqu {a porlent ic nunéro de ln déclarauon qui les précede, alecle d'un '919 exposjnl. (Clrc D' 1374, 8 5 {oæmmn hae (9'4 1*93} |",1,13,1_13
2_00,"[TE DU [ÉcÈs DÉSIGNATION DES PERSONNES DÉCÉDÉES OU ABSENTES DROITS  DE SUCCESSION DROIT INUMÉROS RECETTE Caltio; < ID.ATE DU DÉF;T 0J du NOMS,  PRÉNOMS UGE Cullutulf 8o1 DA TE sutnos de XEMIFRT9 Dl: Juiatio; dc JGEYESI Dcavoi 4 2 DiGLakatioxs DloiTs LT Auidi? OBSERVATIONS . 1} dcri Ccr'rn] hUxÉROS de' MlUTatio; E"" LlGSI DIRECTE del rohre: [oIsi00 , VALEUR 4c de de' Cicins corurn) déclarallono qui brurcr: _ 1tl Diclir {Tioys , PhÉYOMs _ DOMIICILES DEVFURES DES Pahtlfs DicLARA#TES, 41} dolycnl Ctc (gu(ee: Cn [071d XOJIS Cn C1f jabwnca IESTAXT des Fexpfanon 1 010 ulu ton WJeocf 8ans Paffatf Galongr ACTIF , FSSIF du jla, gom""cu DATE N"": sorticr XET FluMLIS 6 dc IcugcMica des droits Gcn 1",2,0,2_0
2_01,444/,2,1,2_1
2_02,"Ho3 9ke Savso Sanbénebhs Baùs kk '2u'44 | SaHol  Dao Kaube) ""l Ybo Ul 46 74 )2128 2'a8bu8) Ayf {95d '92 Yuubz I6 38)419 i6qY} V94",2,2,2_2
2_03,0f Sanlu YBeaà 92iuepbs Utfeneal ) Gqlu   gvaut t9Y1 (Yi 49/ {d W? 7919 |hos? Auto '919,2,3,2_3
2_04,Jok 8 [Uan)ermeens YBæeu Qva dæ_'2 [QBusska__Btzeas foœ [oo 16 %0 Dwm iy 4 farxesy 1928 elaBet 'Jaszsl,2,4,2_4
2_05,lbszaaté ~_quudo 7~ Huwa'l  uembu<919,2,5,2_5
2_06,1kho5 Yemoine ficoos-}R Jhz 2 &usu Smao Jubela ~ Qufsel 4PS r8 aàl 794 9& any %4919 24 - 'fuxscl 4umn,2,6,2_6
2_07,"14o ( 28 fuli YBovte 26qerg"" Qùz 212ac eepahio d 'sluuw {9u Sibonnays ~4 rup2 ~pomush",2,7,2_7
2_08,Kof 82àa elsmeh Y BJenu GBmhenk ^aut foo Pco 78 Quc2usz 220n {ungl 49'4 0 *84 Oziquuey 32z,2,8,2_8
2_09,~bucetz  Q nuexnl L9L4 doxvay cimf,2,9,2_9
2_10,Jsoel & du avebea_1919 #xrx{,2,10,2_10
2_11,[408 [Sovkaine < 482n2 40ls& Govsnaon (mosude  3X & #Ke Za< 19 f anul 91m Raniae (26 splql bulue 98 2849,2,11,2_11
2_12,Kog 0 @{laed DuuQu 14 aul ~Aepnb  Yaxnu %}ta Y30 19 > (kluù 4919 4828 [4 Bosfur HJmuayu,2,12,2_12
2_13,suzeti ~ musemabr_29L 9 #ucax edut =,2,13,2_13
2_14,"Ho hun ,&  | @clokle fulinien Zeblelbo iea déelarat ons rectlflcatirea 0! supplénenlaires Z BBulL_8bnoaed) 42437 369 {2o81 20 F 16 z1a8 fBz9 prtent le numéro de la déclurellon Z1hs 'précede, ullecte eIjosant 214a (Circ ' 1374, 8 5,nole (1 ) Xégllger les contlues mau'yqM qui Jes jun",2,14,2_14
3_00,"DTE DU} Fiaks DÉSIGNATION DES PERSONNES DÉCÉDÉES OU ABSENTES  1"" NOJS, PRÉNOMIS DROITS DE SUCCESSION DROIT INUMÉROS JoxÉROS RECETTE Cact;oy [DATE Dv DÉPëT UGa: Collailkal; DA TE de STAESIS JEGLXEYT DE yoi DE Mutatiov dc]1 OBSERVATIONS_ ur Far deres. Diclaratidas cory{d dRoiTs EI AMiXDi 5 des Mutafiun 2"" LIGSE DIRLCTE tioa dxÉnos de/ ! [wesslon , VALEUR de dr d,, drcins (Lcs declorauons'ul 6cprcat Vul urje PDENOHS , DOJIICILES . DLNEUWES DES Paktils Diclakaniis . {uiy[e dolrenl Qtc 8wa(arf (' ( Onv DÉcLAR8Ti0s. NOJIS . 07 01s Jabecnce. [EsTAST dn Fexpranon Feug-lula& 82n 91 lue dau, 1a [éacole rulonne du 481a {or;'ied DATE N ACTIF TaSsi Sogirig XnT EELULiB+ de; dfciu_ {c16a1l22 J0",3,0,3_0
3_01,"J41$ az JowXelek {fnci' Ddodeebuo 2 dpuu Hl 9| PYY [2  20 heulle {92 1+8794 9buj |  88,9' no]enibld",3,1,3_1
3_02,1y12 2' Chabecw Ylunui' Vuv ? 8 &bl Ouacs clb 4 aul Y9694 48694 Kzo 3* Qaûlyu 1o3 424g # 1 { 9 '& 2 8lnuq ;luqv ,3,2,3_2
3_03,41j} > guù OpRol 4 av2iJ qqc| Gup; QxL' 4Y66 1Ysg 248 { m4 Resnens 29 91 7q2e,3,3,3_3
3_04,Jvocab: &  Ruil ~vm Foecry [zuqu),3,4,3_4
3_05,sutatc & mH esumba L919   (imuunche | cuxu,3,5,3_5
3_06,"1t3 * ,8+9 [JNbalien &mereoa %Amel 1l 72 Bouujuiel_ diszex  16934 16934 RzA4,9 Jl Duau 194} '920",3,6,3_6
3_07,8a1y 32 baminiau ~Jdëlena Beasz € ejuùllgt | Kelfsecete ~Suuue < aute 389| 8891 htaz > 2 m1a1d Y8ztarp Qehu} 482 S9 Jmnc 1q2 1{5 791 {q4 F2 +,3,7,3_7
3_08,[4s (ubu Ulxuxndvnl 6fuù294 Satcan Jenmm< aub Soo #K $ 4k4 <{ à 6 auùlyq2 [menfusial Gebux,3,8,3_8
3_09,Jsoeté & u novxmnbau dexuz 2914,3,9,3_9
3_10,[angm Jleusnoe&s Hueplo Aeefo_Sruùl Y8G' (SK 2j 2449 #)ead [1{ anuangy '4p 9 & &mmsunul 14 mau2qg 6995,3,10,3_10
3_11,"hu{ à YBanua |x 0 fCwt axvx 23 & ""2 > Incvp fjn 7940 Savigank Auyuba _",3,11,3_11
3_12,"{Li framà calnl Zf maua Goeà uy6| 28 ?ç""| 861 '9* eeno) 294 Caminaie",3,12,3_12
3_13,"Jbeaeli'  & Ope nvemulou Les décinrations rcelltlcaliyes cl Quam supplémenlalres porlent Je de iu '""1 les précede Dllecte cIposanL. 1F' '1374, (2) Négllger les conlimes 55, nole (l), 1919 umnéro deelorullon 0un {Cc.",3,13,3_13
4_00,"IATE IU hÉCÈs DÉSIGNATION DES PERSONNES DÉCÉDÉES OU ABSENTES . NOMS,  PRÉNOMS DROITS DE SUCCESSION DROIT NUMIÉROS RECETTE cattio;- DÉFZT Ja Ucf [olaiekalf {6 Da TE uxÉROs drs SFMey DATE DU DF Muiaiio dcl JUcEMIXI Dcyvoi dc {ce; DLCLARATio;s DIOIT9 ET AvEXDES OBSERVATIONS: pr Co'2na uxtnos dev MUTatlo; EN LIGXE DIRECTF_ on poru nlon , VALEUR dc d des Hrew declananens q2/ 6cercnt eu ttrlre  FRÉNOJIS DOMIICILES DEMFUIES DFS Fahtil9 DiclARAXIFS {Cry[w 413 dojfel Nut (maf[ees (u [une DiLLUIATloys XOJIS . G Jabscntu IIESTAST L cfunon Fercibilue scunier Lion Guncc L pteaenlc celonn ACTIF. assir du drl? DATE No Sorricr SET NEUULES - dc 'eclfcotca 865 droins 34 d1n)",4,0,4_0
4_01,duuulÉ' @_doufà auumha_ 1919_cimuù,4,1,4_1
4_02,1a1s 944 Cloquex Dæuler  Z8 putouy zxs} Qluiae {(ao 30 |u 4+uqu4  1X zuca {f maus141 '828 SS buix ^ @peotîme ~(auàe,4,2,4_2
4_03,9' Uicenk Eenà Eppuù 3 axàltu Cnifdte :omob 4X aul 2660 XS 600 3 à 3 punm] |Souaxes uu YX LG 0 300 Jas4,4,3,4_3
4_04,~srxotii &tzou mwmbzuly dteai{,4,4,4_4
4_05,Jucti Q_ quutr) momba191 9 Yuceaù,4,5,4_5
4_06,"[490 %uot [Soisàengbien . YBœnzà Guesuvt 7? '2""44 Aubns Kaul 4YBR bkt 3 ,82,; 'Yonea anclupu 44 7qu 40 7924 Ypuxnntin [Joz",4,6,4_6
4_07,142: J' Sambolke Y{rut 2aleeluo quBalh_{mib [4s} 19I 1924 [Yi 4808,4,7,4_7
4_08,Joxoti & quima) aawmBu_119 Hêrenai'!,4,8,4_8
4_09,Jseseati nbuerebzaL9L9   O)imoncbe {eJeec 484P,4,9,4_9
4_10,~budlé Q_ Juà écht oovemnb_a_ 1919 dpi[,4,10,4_10
4_11,5 [aan >   Rowssean CRrel 9 Gp Piue2ll 81 YBx? Gacumuuu 44800 223860 T9 YuD 2944 Quly [94,4,11,4_11
4_12,"Ju dBenei 'luxnu Brali 3q2 20 #f12 136 [efuuquk "" axllqujak 41 8 30} Se8oneq GubÀè  *8719 [2aàlygg Meqfserm?",4,12,4_12
4_13,"Jsrrabt &du Bsb nuunembz Lea declerations rectillcelives el 1919 qwuanl supplémestaires Portent le naméro de lu déclaration '[ui Ies précide, nllecté d'un cxposant (Circ '1374, Ségllger les contiwes 85,nole [l).",4,13,4_13
5_00,"OU   ABSENTES. DTE DU [lÉCÈs DROITS DE SUCCESSION DROIT NUJIÉROS RECETTE DÉSIGNATION DES PERSONNES DÉCÉDÉES du NOJS , PRÉNOMS DA TE uxtnos Cautiow- DiFPT AGa5 Cuuntkals DE '1tatio: ecr dcs ALESTs DATE DU JtO[wEx D'EYFOI 4c / OBSLRVATIONS- PJ d6res DÉLLAFAtioxs (02vca- DIOTIS GT aMESDEB Mutatio; FX LGME DIRECTF Nca KUXÉFO5 Jes Uc| , Fscssion , VALEUR dc dc dev droats {Las d{clarjuo7s'9/ 6cwigt J |'ia1 Ialli DOJIICILES DENECIES DES Fahtil5 DÉCLAIASTF5 (cn'g""]- dolyee? {9ie 89ai[/es 10484 bicLat411085 NOJS . PhÉNOUS . C1 C, dabucu IFSTAYT' 4cipijl.oc Fena llne softeit ton an péscu Ulornr AGTIF. FssIF du dela DATI X"" Comanr NET. DMEUDLFS  dc 'clg-lcn d(s 4inils ,",5,0,5_0
5_01,1q19,5,1,5_1
5_02,"Hwxbà = Skemans Qevles @y W ail SBcels Bslestion SYSS ""hA )ouem akc 2q,Y 34 Jo faaeie) 2 442 J4y€ [Ek 261qu4 ,",5,2,5_2
5_03,"Jau (uss dKiubnu' Bata 0 {fonsgn 'Unùl <auba [0o [bo oeiX ;98| % 1920 Sury = ""4644",5,3,5_3
5_04,"Ia"" 1' Siekevbons Qev}Rfbmci   Leblelr |y Qey  fencuécùu <asba Aebph 21 Fqrl YJizés 244/4/44 1918",5,4,5_4
5_05,"H2z + Siebo foons œim &p V6mxÉz,4 J46 2 1s} 8 984u 2(mura Don Kuxnrl 4970",5,5,5_5
5_06,1a23 esaegee YQcwu' #uxphl [28 zui 1q1 Bsztuxu   2Étzp _ 98Y5 2RY 31 & Y6 9; VYmuz 4940 @ebel,5,6,5_6
5_07,soceati & dùmauy #nzsemba 1914 dreenaùl,5,7,5_7
5_08,Hvhuh 9& JBautie Ja2zu Zuuslbu 2fu2a4 Jobiettcuaubæl 8GtFt 3srt {hmeey43 Mr' 146 auBplo 83. 94 1q0 {94 292 æxæus,5,8,5_8
5_09,125 2: Oelaikre EDizex  BeBoucin_ Puuee| At {foo YÇod 0+ {5zexed 7u doosulu Jeuwn < auba S 2alau8 'Keniga 46 mniig] 2W,5,9,5_9
5_10,Jsoxté -8s vmg} mcoxmaka_r919   clkajl,5,10,5_10
5_11,[us v Siereot Hè2ien Zellezluo Pingg | ~Gnmhesbbisj annbhi Xebpgu zuil {43 4904 2948 ughunge ],5,11,5_11
5_12,"[aaag à da ""faim Botpsloe' {soued)  4/61 {X6/ Zalerl {0 avèl.gu 86 4849 4uls 42 Jonkignivs Pebex",5,12,5_12
5_13,8 Dlboens JosetR 8atubde BQuà ~auts 'SY€| > 2zEl xorfauinl 4Rz Babnxi 4Y 6 {uma? 29'9,5,13,5_13
5_14,"R8 3emo8 a8o V déelarations rccufeatlres e{ supplémenlalres Iiells 16tuin Gul œla_ Kaubu 4oao 4 Oou 38 9 "" 16 auul 4uxibu Y1 portent lo numéro de la 79"" {g0 déclaralion qu1 1es précede, ulfeclé cIpoyani (Circ n' 1374 05 Négliger les contimes 194 dun",5,14,5_14
6_00,"DATE; IU DÉcis DÉSIGNATION DES PERSONNES DÉCÉDÉES OU ABSENTES NOMS,  PRÉNOMS DROITS D: SUCCESSION DROIT INGMEROS RECETTE Cavtio; DATE DU DÉFüT Ju 0gaI Culltla DA TE xuxÉRos KlurI9 JUGEMDXT DCAIGi DE: Jutatio: den Nr dfte: DiCLaiatio;s coodpt) Dioits LT AMEDEA_ (BSERVATIONS . MoTaTloy FX Ligse DIRECTI JqxÉnOS Mon &urdie Itse s lon. DEVEUIE9 DES Fan[ILS Diclaravtis_ VALEUR des drclls DÉcLlTlo""5- SOJIS . PHENOJIS . DOMICILES (orson {Irators'0/ Leutcr? 11{ 0"" 61f J'ubsnci IFsTAYT Ferpiralicn Velelllat? toa {rt Ctc (Maffec' 7"" {onsp_ ACTIF - sSIF du delal tin4  DATI Nc:  Parale (elornc aricf NET {yvaunles [ de 'truac_tion d6s drolu",6,0,6_0
6_01,V7u,6,1,6_1
6_02,M5o voi %æt Sambock 'Ualenlun YéeDee [G 221*9) Graàz Qutle^ aubc] Xun 2 t8Ef0 26258 {6md 49 '9x2 {k0f,6,2,6_2
6_03,Jss Sevecu JLaalphene } mz4q14 Uaphaé iemal K aubes 4J40 48v0 Y Ae 4qu 16 elæbey,6,3,6_3
6_04,Danpee JNezie [4q84q2| Yi{2 5qk Gfug Bus Aunlu 15),6,4,6_4
6_05,Iis3 faso Vrabh_evantleta'fvrz [ Jaxfonsm  Glsamà 'Lvai zZd {zs Tt{s 7287 Rasce Ban 192 Oelabij,6,5,6_5
6_06,bcati 2 fue dz2x vnnsfh quntza 19 2),6,6,6_6
6_07,[153*um_eàz Cbalier {&oclens Y2i{reblu 8 auùl #8ual { 821 X3l Jun fPmn Jubu 292 7720,6,7,6_7
6_08,~Brati Q wàtunr fuim 7924 Jnandd,6,8,6_8
6_09,~guuhi 8: 2vnhRa tuuim  *92 Oimanbbe Jueuy,6,9,6_9
6_10,Hsb HzomcnX bocfen Yévell 28 plqu] UaB2mvmn fuLeetlo {çaY] [369 7844 Bu1 GfumnàE 289 194 irlaye {92,6,10,6_10
6_11,H55 9 eoccux 'fexm sh hrmo & |#Fwmiy fArubi BBamenct <auli 84ge| 246 {1uu Jantu Clvhau '92,6,11,6_11
6_12,156 Pew BOaul-Qe 6 4l. dcsbes Julo Fk< euibæs 2<8f { &ft Azrùxe Beolas: ' Juse ,6,12,6_12
6_13,cbvrl' + wicuh uetffus .92 duoaid,6,13,6_13
6_14,"H5f sne/ % 8 eclave Ylaia {rna Padel 29 B81q2 Befalryua Qjèbuide {4845 4326 12919 '4/8 ,96 ""s|",6,14,6_14
7_00,"[ATl DU DcÈs DROITS DE SUCCESSION DROIT INUMÉROS DÉSIGNATION DES PERSONNES DÉCÉDÉES OU ABSENTES. Lo85 Cuatfwale DI: d2 DA TE IUXÉROJ RECETTE Cactiux- DATE DU DÉFNT a NOMS,  PRÉNOMS Jufatio; drs XEEX1S JUGLMLAT DESvoi MUtatiov En LAGXe DFKECTE PJr d/c6v DÉCLanatioxs Conufa Duoi1; LI AMEXDE OBSERVATIONS ton JUkÉROS dca VALEUR du1 drits dcl1 dc ILes  laradons (jul (rarcnl4n21 Gulie nustosson , DIMEURES DES Panties JESTAYT 1 cpirailga (0,ac""a dcatcul QIc Cinaic6e' (n 5onie DÉLA1io35 YOMS , PHÉNOJIS DOMICILES DECLANAAIEs ACTIF . FASSIF du 2tlu V ecilil.& {onzic Von E(s5( 4any/a fuesrnfe colcnnr (G Caf dabente. XET MMEUDLES DATE X"" Sutaler (ccllcjcior {6s droiu 10",7,0,7_0
7_01,Jbsvesti Juu 192 dxz Qodeyyt,7,1,7_1
7_02,"[J45 &casstfy] Bhvb; Lwd Ueequnl 'T6 '9419u Uan @Eher K æubel 5k3f| 4413 83/32 VB r2y]| 76 9774""9 Sue ""78 Julienne",7,2,7_2
7_03,[ucal QLJvz `dphhu 192 Gtzy,7,3,7_3
7_04,Hk6 a hulfun| Jboasso femn B4s Baubes 19 pl92 (oa Ebide A1905 3f4 ~T{a2 4- 1-194 /4,7,4,7_4
7_05,Jureta' & Jv Ruul fuà 192 dutea,7,5,7_5
7_06,"Buadi Q Juà 1924 dimaeke dqul ""E""ftu",7,6,7_6
7_07,Jbeubi + 492 dueecril ear} fae,7,7,7_7
7_08,Haf wejtunjes| 7ean /yh 8 Bxmcsesdd 48 zz2uux fluzl   Yue DberÈe_ ~aibles 49 Go 338 46xt Ao Janill iy2o Seolieg,7,8,7_8
7_09,Jet & wzhum 192 duccy_ Jùe,7,9,7_9
7_10,Socuhi Q wial Beun fpn deevzz' 192,7,10,7_10
7_11,Jbwsk &urgt = 'Ju 192 duuvy] bzou-,7,11,7_11
7_12,"[agunglqud ] (assel GmynxmuQ_ Gutmcl | 'oJeuua Bia Êmili ^ autra {q4{ 43/3 {612 1Go fanagc Z8e| ""fody  (92u Terri",7,12,7_12
7_13,"[49 |""egelark Yauzsnl }: 1 ma'qu H8apuaJ - 2Qualsif @ules 883 Jf1 Aut Juuk eapaua (nqne",7,13,7_13
8_00,"ABSENIES. MTC I DÉcis DROITS DE SUCCESSIOX DROIT NuMÉRos RECETTE Cantio:- DÉSIGNATION DES PERSONNES DÉCÉDÉïS ou Nu NOJS,   PRÉNOJIS UeY; Cullunklf DATI XUXÉRO; Enis DATI DU DÉFNT DE Jvatioy 4 JlfMF Dfoi 4fci: DlCURATo;; 80nnet1 Dhoi1g Auinoi $ OBSEKVATONS. JUTaTiov nx E;E D (IECTE Mod JUXÉIOS du FALEUR de < 4101ls {cuucun Ju/tcuiui 1,1 Iudre postculon, DEVEURES Dls fakties dicLiRANTES, Fopvgw 70i2e2n (u DEEZAn81iin} NovS  PRÉNOMS. DOMIICILES IESTa [rpvnon eueille Somnuie Mc1ju 1n4e Pir(15 0 cn Malnca ACIIF FAsu du drlu DJATE JykUNLES, 744 {ouui XLT . de ecufcallen é(1 drolu",8,0,8_0
8_01,Jsosesti Q umghum OluuL ba 191g duutuil,8,1,8_1
8_02,J6a9 ivenLdeux Seke Ybouuà #ttz 2Sm4;} #8uvct Swù Y6 €c Y(6€ efene;ae 26 DLUEA '5 $ 'Gel Suucobdi 198 '9'} 19ru J6,8,2,8_2
8_03,"1480 à dBuak Jba 3bug1d #Gavel J-p . < auben 146{ kxs""4| 8 19 auultug Xanlqu {04 'Juno yY| kbxox",8,3,8_3
8_04,"14as J Somain Hépicùc {046199 | Lauté Bzuà X aubc {01f8. 1 0 4' 1q38,91 74 34Ç lfaas",8,4,8_4
8_05,"1a82 SQiark |æ e,""  ~{lwuu' BQaeuhc 4 autrel GI3 YJl 432 [;44 3 'J aaàil Qcel 182 % {9u '49 @uim",8,5,8_5
8_06,"1kas SBiask Jch _ 19 0~ 965 J 8l 3 ' )""",8,6,8_6
8_07,1as4 Yuni ZUalebo 2 Bahapue  Siyfue)_ X3k {fY 44y4 + 28 M1cc0 Qwl Lpl [xç |dboulmesgeus 'muwy i7t) -,8,7,8_7
8_08,8635 + tbibauk ~BBauquu ' { Qasnu? _ 94 | smosc YQaezÀ < aute 464' il4rd k4/ f '~Pusl )u #usibll),8,8,8_8
