file,text,file_name,line_name,id
1_00,"|  = | DATE DU DEPOT  des  DECLARATIONS.  DESIGNATION DES PERSONNES DECEDEES, OU ABSENTES.  SS —— eee | |  NOMS.  PRENOMS  DOMICILES  DATE DU DECES co da JUCEMENT D'ENVOI el postession,  on cas d'absence,  NOMS, PRENOMS eT  DEMEURES DES PARTIES DECCARANTES,  MUTATION EN LIGN  le  ACTIF.  72)  DROITS DE SUCC  EN LIGNR COLLATERALR  et de  PASSIF  oy)  2 DIRECTE  RESTANT NET.  72\  DROIT DE MUTATION par décés  VALEUR dea IMMEUDLES,  wh  Vexpiration da délas de rectification  Vexigibilitd  des droits  NomEnos dela consigna- tion des droits au sammler ne 28  RECETTE CAUTH des NEMENTS, ; J\RORRVAT aed DROITS ET AMENDES. a OBSERVATIONS. nUMtROS [gAaence aes dela  (Les déctarations qui Ggurent Al'état  conslgna: | y+ 413 doivent dtre ¢margées en conte she von | tozan | quence, dans la présente ealonne } DATE (| No] Coo,  nt jo. ",1,0,1_0
1_01,ft alt alta ,1,1,1_1
1_02,,1,2,1_2
1_03,"a cnte |Abevcenk a dette  Son <a  1040’  i ee  wil  W, 4 A972 tC v4  f<aclyts Fos  ",1,3,1_3
1_04,L  3  be oi  7  Nf »- p  ,1,4,1_4
1_05,,1,5,1_5
1_06,,1,6,1_6
1_07,Aerereeti Le frespetur noverntlee 1919 thousyour “ eonctf  ET ° ,1,7,1_7
1_08,,1,8,1_8
1_09,"i benes ge Desmedk mre Pivebles \-28 rage Llc Elise, jutro,  g/4  ght) Cao) a9 90) <¢ ie fa pie t ",1,9,1_9
1_10,"= pi CUR Barn Otows Chebey + bboy, 7| Lbempeut Qckbe  Ggagra! Azer) 6699s | .  a9 ",1,10,1_10
1_11,".  oouy  Fbirn ——_ Paairin 0” 26 Yee  Sd 4 q  Bocty LB are, Ibn.  ",1,11,1_11
1_12,,1,12,1_12
1_13,a L723  | 1493}  8  L : qe  16 do?  i] 1909  14 avsilegta ER ,1,13,1_13
2_00,"hhh TCS ST  x""  ordre.  DATE DU DEPOT des  DECLARATIONS.  DESIGNATION DES PERSONNES DEC  NOMS,  PRENOMS.  DEES OU ABSENTES.  xan a  DOMICILES  DATE DU DECES ov da NOMS, PRENOMS  IUCEMENT D'ENVO!  rT an  potsession, DEMEURES DES PARTIFS DECLARANTES, en cas d'alsence,  DROITS DE SUCCESSION EN LIGNE COLLATERAL et de MUTATION EN LIGNE  ACTIF-  DIRECTE.  RESTANT NET  72)  DROIT DE MUTATION par déces  VALEUR des  IMMEUBLES.  NUMEROS des DECLARATIONS  —~_—  DATE  —  de Vexpiration du délai de rectification  de Venigibilitg  des droits,  runinos dela consigna tien des droits aa  19!  n®  RECETTE CAUTI dee NEMENTS 23 2ePRVAT 1 DROITS ET AMENDES. OBSERVATIONS. nUMEROS ee dela (Les déclarations qui figarent A Vétat coneess: n* 4t3 doivent dtre dmargdes eu consd- oer . tion au quence, dans la présente colonne ) DATE N™ | sommier rn” 30. ",2,0,2_0
2_01,,2,1,2_1
2_02,feb Lou _ erm  | | 4 ¥¢0 Z AGGtf 4A | 4 -caudlued ol Lao. pees Ch rowan e day  ayy ml 44 agro arth ,2,2,2_2
2_03,Ws Sauls Lbcbani | 2iveLl)  p  2) sad gl to Shy pt  G4  ‘919  ,2,3,2_3
2_04,Vand Aner Lbaeu  ae  |  ,2,4,2_4
2_05,,2,5,2_5
2_06,“a Bey Lg aa  | eee a) | 05 ciny gbe Sine Row fh | he Lee days wemaiee Jaber. < autos l  TELE VEL umn fe =  SS ,2,6,2_6
2_07,+H A  | ,2,7,2_7
2_08,| a era aan  dainklane |  rae Poteau Herterae «  : - |  ,2,8,2_8
2_09,,2,9,2_9
2_10,,2,10,2_10
2_11,Aih TAS  y) aa 19 DO ppacul Iemma “74 ‘7g |  ak  ,2,11,2_11
2_12,"Prcfinr Ward | 09»  aati ee : | ee - | 49 | tO : GLO SEE Livre, Abr s- degre Pabveth,,  ",2,12,2_12
2_13,,2,13,2_13
2_14,"| 4y pbs la LR, : BPP ee qa 4 | uA ARESE| | Sb g| 12067) |. | Lyd |; Hi, Lea déclarations rectificatives ot Supplémentalres portent le numéro de la déclaration qui les précéde, affect Wun exposant, (Cire n* 1374, §5  (2) Négliger les contimes. ",2,14,2_14
3_00,"DESIGNATION DES PERSONNES DECEDEES OU ABSENTES. s z E F, eda NOMS, PRENOMS DROITS DE SUCCESSION DROIT NUMEROS RECETTE Soins FONEROS 2 CAUTION-  tot LIGNE COLLATtRALE dea DATE d NEMENTS = NEMENTS,  JUGEMENT D'ENVOL 2 i DE MUTATION fel et de ECLAR. hialte — 6 par décés, [DECLARATIONS ; DROITS ET AMENDES OBSERVATIONS.  MUTATION EN LIGNE DIRECTE _  possession, = ——— DEMEURES DES PARTIES DECLARANTES | VALEUR  ye [DATE DU DEPOT  Ce ee ne ee consigna aa as eae) Nol ean numénos . . dela  de des droits canes (Les déclarations qui Sgurent A Vétat ice ration Feugit aa unite. nt git doivent ttre émargées en contd  Pare exigibilité pentaler DATE Pa | Cota qquenee, dans 1a présente colonne.}  wi  des  Carte 5 ‘ pEcLanaTions. NOMS. PRENOMS, DOMICILES. on cas d'absence, ACTIP past. | oe a NET INMEUBLES,  EE ee DATE DU DECES = SS  J  iT \ 2) 12) ",3,0,3_0
3_01,": tad a SOW Foro Vedchen ia  <6 fay  Yume Mlied -  LG | -, ",3,1,3_1
3_02,"a  \406 40  > Chaleaw Mere Posi 2 : o funy Barpslle Arter, cht 4 Mogi... \ ¥b6g, OC easly ta 4 phogs 203 te  may} q) ",3,2,3_2
3_03,"tye LwYte  i x  Reynens Sous | Pawn,  bee Goble Ordre” |  ",3,3,3_3
3_04,,3,4,3_4
3_05,,3,5,3_5
3_06,| j  Boryuiuu LrisArdh 6954 gs¢  | 13.22 ghagy | Woabsiers ~ |Gmetana! cbse | | |  Wy  ,3,6,3_6
3_07,"l  14 50  Prey, €. abhi)  y Dy a | ACT9l\ . Agégt  au  Jmne to! FE foe. |-400 ",3,7,3_7
3_08,MY  7 : bate tenet. ag  | : }  00 K( zt o* Cauley sn |  Cperigy  ,3,8,3_8
3_09,,3,9,3_9
3_10,Lge  C99L  as Ato farre Fanuc | ,3,10,3_10
3_11,,3,11,3_11
3_12,"a  ci Bi Convoinaiae- Ele. - , re  : SGT 49g  ",3,12,3_12
3_13,"(L) Les décinrations reo  Ufleatives et Supplémentaires Portent Ie  & = & & = & 5 2 Ey 3  & ‘ ae |  (2) Négligor les contimes.  ff S74, §5, note (1), ",3,13,3_13
4_00,"PATE BU DECES ade NOMS, PRENOMS DROITS DE SUCCESSION DROIT NUMEROS RECETTE cA wet es DE MUTATION eaperene DATE ee ie sey Deas ol pe ~ consigna. | DROITS ET AMENDES. re OBSERVAT IONS,  DATE DU DEPOT  Se Se a | | Be D'eNvor tr ; par décés. : . é MUTATION EN LIGNE DIRECTE * ———_.. ———_-_ } “ forlre. i ——~__— tion aumEnOS £ postession, : : SS —— —_— Ss DECLARATIONS, DEMEURES DES PARTIES DECLARAN ae VALEU de j d. dela : TES, ALEUR i de les droits b ¢ SES (Les déclarations qui 6gurent a l'état NESTANT des Vexpiration Vexlgibane au es nt 4t3 doivent Ctre émargées en conve: gibilin tion au quence. dans la peésente coloune )  du délai : sommnler DATE New  no 28  ea cas d'abseneo. sormmier  de rectification n* 30.  1 | 2 (2) @) fe) rr rl =  ACTIF. PASSIF  primitives. taires,  an DDTEUDLES. NET. des droits  a DESIGNATION DES PERSONNES DECEDEES OU ABSENTES.  NOMS. | PRENOMS. DOMICILES  ",4,0,4_0
4_01,,4,1,4_1
4_02,1B toa Chto  |  £(00. d  bei)  {EEE sf  ,4,2,4_2
4_03,,4,3,4_3
4_04,,4,4,4_4
4_05,,4,5,4_5
4_06,"taukiy $e  | |  HAO ofavie Doisenghion tat Setemot | LE mee | Jub Lxrbisy ues | tSP fie LLY,  f “914 y  ig 2 (vg Oi ean  ",4,6,4_6
4_07,oe ‘sath mays coe  Te  Ped ,4,7,4_7
4_08,,4,8,4_8
4_09,,4,9,4_9
4_10,,4,10,4_10
4_11,,4,11,4_11
4_12,"0 MLE} Tere Sucbegy, ba y eg? Hlaru Pea | bGL aa ite) i | pala apa aie ",4,12,4_12
4_13,"Avult 2  (1) Le: tiflcalives et Sipplémentaires porte  8 déclarations reo  a ae  Ota tusk navrernben 194g  (Cire. n‘ 13  74, $5, note a).  —aA—- —  (2) Négliger les contimes. ",4,13,4_13
5_00,"(Shera Satie  DATE DU DECES  BATE DO DBEST DESIGNATION DES PERSONNES DECEDEES OU ABSENTES. 5 Renta i | Re oreer +. {DATE is eu da MS, PREN ; | TS DE SUCCESSION = ‘ _--—— ~ ee JCOEMENT D'ENVOT Gee EN LIGNE c ee a eset EOS RE =r _ es, er ENV! ad aN OLLATER, o OM i? ia D'EXVO! o | a ALE erating te DATE RECETTE CAUTION- aur z MUTATION oe i f par ddetss 5 | POS EATON 3 = OBS ou 7 yang NE GNE DIRECTE pnor oN ser yi ray wm * poe ion, a el a iTS ET AMENDES. 4, SAGES Nous. PRENOMS. DOMICILES. eat DEMEUNES DES PANTIES DECLARANTES a ee edie eal qa a. avaeabs SO eee ea cas d'absonce, Dice | VALEUR Sele de ie dec dis Serge | ary fone | wed seme ‘7 3 ‘ Ls rT qui 6 at A “ ACTIF. PASSIF. RESTANT des 5 s i bexpiration Vexigititive au consigna- { sehereatarapeeet sop eth 7 . NET. IMMEUBLES, Ej ea du délad somrater DATE No: tlon at jtence, dans la présente colonne ) | (2) Q) ) 4 a] 2 de rectification des droits, ne a8 sommler j - 2 n’ 30  ",5,0,5_0
5_01,,5,1,5_1
5_02,j Soaclees Celbetion. |  | '  SU | Uf.) S40). 4x  Ss  ° ce : “Pia ,5,2,5_2
5_03,\cstng A ,5,3,5_3
5_04,i f p  St  Gf  ,5,4,5_4
5_05,,5,5,5_5
5_06,"4  Y  3 2 ce Hares! Boothe. Robucy  | Blbsrrbeixi Diezh , | GEL,  ",5,6,5_6
5_07,,5,7,5_7
5_08,"HAY nag  i  i  Fee 1G aucbyto| L4  atic oor. loath ee man | | ag y, I | | |  be | dF Proce’ : gh ad “948 428  ",5,8,5_8
5_09,MS ot | Melavitce- eine eather Al pee : f | | Gee aes PEL LG heesppe fern 4 a  (00. ee  zoo |  ,5,9,5_9
5_10,,5,10,5_10
5_11,fpr  @ ee Vermeer |  ,5,11,5_11
5_12,"Aashbabbons’ -  AdoT|  | |  Oo | tt¢aach  Lo aseillega, £6  ",5,12,5_12
5_13,,5,13,5_13
5_14,"* y Sema Peele  a) Les déclarations rectificatives et Supplémentaires Portent Io numéro de Ja déclarati  foaa| . | hada) i “a 2 ‘e Geral Ober, Katee i a : a  (2) Négliger les centimes. ",5,14,5_14
6_00,"————<—= i ad # : fc pas LES DATE DU DECES DROITS F SION | | > I re oe INE o ba E i a ONS o t is “| rE DU DEPOT UDA CG) SLD DL ATONE) ah hed eh (EE oS ou da NOMS, PRENOMS : DROIT Tak RECETTE CAUTION ‘ DATE D TPC Wt Ligue cortarteace ciptice ies fe DATE 0s pid NEMENTS h (tines B MUTATION ms re eS ee FUGEMEAT: DAUM et de sar dé DECLARATIONS bill PROITS ET AMENDES a ( ORVAT us dea | ea i MUTATION EN LIGNE DIRECTR. a Ze (er i ae : : nominos PSERY ATIONS. dorire | porsesston Bea ? er a é ERS a Sa tal ori Cet ieione! Noun. SRENGHES DOMICILES. Ns DEMEURES DES PARTIES DECLARANTES. VALEUR : se i eonsigna y flarations qui @purent A Vétat No) ca cay dabasriens : RESTANT des expiration Ventgibiied danke Ent Ctre émargdes en consé- ACTIF. PASSIF nan du délal sommier DATE NOCH eee ‘la présente colonne.) is | NET Caachi de rectification des droits nous nt 30 a a | (2) @) a ay ",6,0,6_0
6_01,,6,1,6_1
6_02,"sph oferta Ny ue aber’ ‘Wale ool: | Pavel | LeA | 1G px gel ye Cyeaed Qtunréthe 1 aud, Lid Ttfa ? £6 £6, aay Vaz 7 ",6,2,6_2
6_03,(Gy me Seen Aretha ebebeuy |Fnaeigy| Verret Brnurl xe audice bh | | : 4t4a| | eete 5) (RL yMbign LF;  | a ~ ay ,6,3,6_3
6_04,ist Be  LOL Coe| Grew. ,6,4,6_4
6_05,153 | Delal ae Cbstune  |  ,6,5,6_5
6_06,,6,6,6_6
6_07,alee  |  ,6,7,6_7
6_08,,6,8,6_8
