model,id,bleu,precisions,brevity_penalty,length_ratio,translation_length,reference_length
claude_one_example,17,0.05872246828916748,"[0.355, 0.1306532663316583, 0.025252525252525252, 0.01015228426395939]",1.0,1.0,200,200
claude_one_example,16,0.11178611656441116,"[0.4161849710982659, 0.19186046511627908, 0.08187134502923976, 0.029411764705882353]",0.949306917296253,0.9505494505494505,173,182
claude_one_example,14,0.10451407297770669,"[0.532051282051282, 0.23870967741935484, 0.07792207792207792, 0.0392156862745098]",0.7446270463525618,0.7722772277227723,156,202
claude_one_example,15,0.19938202078120465,"[0.5476190476190477, 0.2874251497005988, 0.15060240963855423, 0.06666666666666667]",1.0,1.0120481927710843,168,166
claude_one_example,11,0.11723149561037553,"[0.27074235807860264, 0.14912280701754385, 0.0881057268722467, 0.05309734513274336]",1.0,1.748091603053435,229,131
claude_one_example,10,0.16199800912612275,"[0.5190839694656488, 0.3230769230769231, 0.23255813953488372, 0.1640625]",0.5727809575454542,0.6421568627450981,131,204
claude_one_example,12,0.08887317805587269,"[0.45348837209302323, 0.18128654970760233, 0.08235294117647059, 0.03550295857988166]",0.7137594327584522,0.7478260869565218,172,230
claude_one_example,13,0.0,"[0.34594594594594597, 0.07608695652173914, 0.01639344262295082, 0.0]",0.6703200460356393,0.7142857142857143,185,259
claude_one_example,8,0.03390701848428519,"[0.4697986577181208, 0.1891891891891892, 0.05442176870748299, 0.00684931506849315]",0.4469229245585069,0.5539033457249071,149,269
claude_one_example,9,0.061446211508448104,"[0.3469387755102041, 0.1282051282051282, 0.030927835051546393, 0.010362694300518135]",1.0,1.2564102564102564,196,156
claude_one_example,4,0.0,"[0.3132075471698113, 0.08712121212121213, 0.019011406844106463, 0.0]",1.0,1.402116402116402,265,189
claude_one_example,5,0.02983543600562813,"[0.33663366336633666, 0.07462686567164178, 0.015, 0.010050251256281407]",0.6763198872255203,0.7188612099644128,202,281
claude_one_example,7,0.051508913513899565,"[0.22988505747126436, 0.07307692307692308, 0.02702702702702703, 0.015503875968992248]",1.0,1.544378698224852,261,169
claude_one_example,6,0.1115270487550486,"[0.4695121951219512, 0.2085889570552147, 0.09876543209876543, 0.043478260869565216]",0.7788007830714049,0.8,164,205
claude_one_example,3,0.08863416684082613,"[0.4632768361581921, 0.19318181818181818, 0.07428571428571429, 0.028735632183908046]",0.7539072902921755,0.7797356828193832,177,227
claude_one_example,1,0.0695629471971247,"[0.34913793103448276, 0.1471861471861472, 0.034782608695652174, 0.013100436681222707]",1.0,1.2406417112299466,232,187
claude_one_example,18,0.08614483587779577,"[0.49710982658959535, 0.18604651162790697, 0.06432748538011696, 0.029411764705882353]",0.7489992168643264,0.7757847533632287,173,223
claude_one_example,19,0.16756774034357483,"[0.5238095238095238, 0.2876712328767123, 0.15862068965517243, 0.09027777777777778]",0.7774774175734955,0.7989130434782609,147,184
