model,id,cer
gpt_one_example,17,0.745414118954975
gpt_one_example,16,0.7312320916905444
gpt_one_example,14,0.7239330091842248
gpt_one_example,15,0.7238762405137186
gpt_one_example,11,0.8064300066979236
gpt_one_example,10,0.7291321171918187
gpt_one_example,12,0.7039542143600416
gpt_one_example,13,0.6942928039702233
gpt_one_example,8,0.6747220879652006
gpt_one_example,9,0.6599511599511599
gpt_one_example,4,0.648314606741573
gpt_one_example,5,0.7976190476190477
gpt_one_example,7,0.7553130384836301
gpt_one_example,6,0.7577672459189047
gpt_one_example,3,0.6270661157024794
gpt_one_example,1,0.7079400333148251
gpt_one_example,18,0.7079002079002079
gpt_one_example,19,0.7450753186558516
claude_simple,17,0.7720956086714842
claude_simple,16,0.7421203438395415
claude_simple,14,0.7401404646137223
claude_simple,15,0.7425569176882661
claude_simple,11,0.7434695244474213
claude_simple,10,0.7838584853510226
claude_simple,12,0.7653485952133194
claude_simple,13,0.8044665012406947
claude_simple,8,0.7868535524407927
claude_simple,9,0.7936507936507936
claude_simple,4,0.9258426966292135
claude_simple,5,0.777014652014652
claude_simple,7,0.7702469844916715
claude_simple,6,0.7804107424960506
claude_simple,2,0.7696850393700787
claude_simple,3,0.7706611570247934
claude_simple,1,0.7334813992226541
claude_simple,18,0.7536382536382537
claude_simple,19,0.761297798377752
TrOCR,17,0.9794330183435241
TrOCR,16,0.9587392550143267
TrOCR,14,0.9854132901134521
TrOCR,15,0.9830706363105662
TrOCR,11,0.9899531145344943
TrOCR,10,0.9723604201216142
TrOCR,12,0.9422476586888657
TrOCR,13,0.973697270471464
TrOCR,8,0.9922667955534075
TrOCR,9,0.9664224664224664
TrOCR,4,0.9735955056179775
TrOCR,5,0.9610805860805861
TrOCR,7,0.9707064905226881
TrOCR,6,0.9842022116903634
TrOCR,2,0.9478346456692913
TrOCR,3,0.981404958677686
TrOCR,1,0.9805663520266519
TrOCR,18,0.9781704781704782
TrOCR,19,0.966396292004635
Pytesseract,17,0.7843246247915509
Pytesseract,16,0.7770773638968481
Pytesseract,14,0.7957860615883307
Pytesseract,15,0.7676590776415645
Pytesseract,11,0.8137977227059612
Pytesseract,10,0.7904919845218352
Pytesseract,12,0.7877211238293444
Pytesseract,13,0.7866004962779156
Pytesseract,8,0.7723537941034316
Pytesseract,9,0.7771672771672772
Pytesseract,4,0.7820224719101123
Pytesseract,5,0.7779304029304029
Pytesseract,7,0.8001148765077541
Pytesseract,6,0.7935755660874144
Pytesseract,2,0.796751968503937
Pytesseract,3,0.78099173553719
Pytesseract,1,0.8250971682398668
Pytesseract,18,0.7681912681912682
Pytesseract,19,0.7734646581691773
claude_refine_complex,17,0.7709838799332963
claude_refine_complex,16,0.6544412607449857
claude_refine_complex,14,0.6699081577525662
claude_refine_complex,15,0.691768826619965
claude_refine_complex,11,0.7809778968519759
claude_refine_complex,10,0.7506909894969597
claude_refine_complex,12,0.7476586888657648
claude_refine_complex,13,0.6982630272952853
claude_refine_complex,8,0.6466892218463025
claude_refine_complex,9,0.7515262515262515
claude_refine_complex,4,1.2078651685393258
claude_refine_complex,5,0.7710622710622711
claude_refine_complex,7,1.2234348075818495
claude_refine_complex,6,0.7551342812006319
claude_refine_complex,2,0.6456692913385826
claude_refine_complex,3,0.8052685950413223
claude_refine_complex,1,1.1482509716823988
claude_refine_complex,18,0.5867983367983368
claude_refine_complex,19,0.6349942062572422
gpt_complex,17,0.7476375764313508
gpt_complex,16,0.7530085959885386
gpt_complex,14,0.6320907617504052
gpt_complex,15,0.9708114419147694
gpt_complex,11,0.8901540522438044
gpt_complex,10,0.7584300718629077
gpt_complex,12,0.7351716961498439
gpt_complex,13,0.8347394540942928
gpt_complex,8,0.6481391976800387
gpt_complex,9,0.6807081807081807
gpt_complex,4,0.8775280898876404
gpt_complex,5,0.8154761904761905
gpt_complex,7,0.6984491671453188
gpt_complex,6,0.6182201158504476
gpt_complex,2,0.7445866141732284
gpt_complex,3,0.6528925619834711
gpt_complex,1,0.7468073292615214
gpt_complex,18,0.7427234927234927
gpt_complex,19,0.619351100811124
claude_two_example,17,0.736520289049472
claude_two_example,16,0.7249283667621776
claude_two_example,14,0.728795245813074
claude_two_example,15,0.7209573847051955
claude_two_example,11,0.7294038847957133
claude_two_example,10,0.7766721945826424
claude_two_example,12,0.7388137356919875
claude_two_example,13,0.7483870967741936
claude_two_example,8,0.7757370710488158
claude_two_example,9,0.7332112332112332
claude_two_example,4,0.7280898876404495
claude_two_example,5,0.7614468864468864
claude_two_example,7,0.7610568638713383
claude_two_example,6,0.7519747235387045
claude_two_example,1,0.7073847862298723
claude_two_example,18,0.7494802494802495
claude_two_example,19,0.7166859791425261
TrOCR20,17,0.7593107281823235
TrOCR20,15,0.7413893753648569
TrOCR20,11,0.7468184862692565
TrOCR20,10,0.7622996130458817
TrOCR20,12,0.7653485952133194
TrOCR20,13,0.7766749379652605
TrOCR20,9,0.7496947496947497
TrOCR20,4,0.7578651685393258
TrOCR20,5,0.7760989010989011
TrOCR20,7,0.7541642734060885
TrOCR20,6,0.7672459189046866
TrOCR20,2,0.7696850393700787
TrOCR20,3,0.7727272727272727
TrOCR20,20,0.74862721171446
TrOCR20,18,0.7681912681912682
TrOCR20,19,0.7584009269988412
gpt_two_example,17,0.650917176209005
gpt_two_example,16,0.6538681948424069
gpt_two_example,14,0.6796326310102647
gpt_two_example,15,0.7151196730881495
gpt_two_example,11,0.7742799732083054
gpt_two_example,10,0.699281370923162
gpt_two_example,12,0.7034339229968782
gpt_two_example,13,0.6665012406947891
gpt_two_example,8,0.6882551957467375
gpt_two_example,9,1.1654456654456655
gpt_two_example,4,0.6629213483146067
gpt_two_example,5,0.6460622710622711
gpt_two_example,7,1.0729465824238944
gpt_two_example,6,0.6961558715113217
gpt_two_example,1,0.6829539144919489
gpt_two_example,18,0.681912681912682
gpt_two_example,19,0.6575898030127463
KerasOCR,17,0.7993329627570873
KerasOCR,16,0.8074498567335243
KerasOCR,14,0.8271204754186926
KerasOCR,15,0.8038528896672504
KerasOCR,11,0.7910247823174816
KerasOCR,10,0.8308457711442786
KerasOCR,12,0.7986472424557752
KerasOCR,13,0.8238213399503722
KerasOCR,8,0.8380860318994683
KerasOCR,9,0.800976800976801
KerasOCR,4,0.7797752808988764
KerasOCR,5,0.825091575091575
KerasOCR,7,0.7828834003446296
KerasOCR,6,0.8109531332280148
KerasOCR,2,0.8105314960629921
KerasOCR,3,0.8166322314049587
KerasOCR,1,0.79011660188784
KerasOCR,18,0.8238045738045738
KerasOCR,19,0.8227114716106605
claude_complex,17,0.6575875486381323
claude_complex,16,0.6544412607449857
claude_complex,14,0.6283090221501891
claude_complex,15,0.6392294220665499
claude_complex,11,0.7086403215003348
claude_complex,10,0.6368159203980099
claude_complex,12,0.6566077003121749
claude_complex,13,0.6764267990074442
claude_complex,8,0.6974383760270663
claude_complex,9,0.6196581196581197
claude_complex,4,0.6561797752808989
claude_complex,5,0.6423992673992674
claude_complex,7,0.6840896036760482
claude_complex,6,0.6419167983149026
claude_complex,2,0.6633858267716536
claude_complex,3,0.6410123966942148
claude_complex,1,0.6690727373681288
claude_complex,18,0.5893970893970893
claude_complex,19,0.5793742757821553
gpt_simple,17,0.9216231239577543
gpt_simple,16,0.977650429799427
gpt_simple,14,0.8649378714208535
gpt_simple,15,0.9544658493870403
gpt_simple,11,1.4963161419959812
gpt_simple,10,0.7810945273631841
gpt_simple,12,0.8480749219562955
gpt_simple,13,0.8535980148883374
gpt_simple,8,0.9647172547124214
gpt_simple,9,0.7509157509157509
gpt_simple,4,0.9438202247191011
gpt_simple,5,0.8228021978021978
gpt_simple,7,0.8311315336013785
gpt_simple,6,0.8151658767772512
gpt_simple,2,1.0201771653543308
gpt_simple,3,0.8739669421487604
gpt_simple,1,0.8045530260966129
gpt_simple,18,0.9693347193347194
gpt_simple,19,0.7827346465816918
claude_one_example,17,0.7392996108949417
claude_one_example,16,0.7123209169054441
claude_one_example,14,0.7271745002701242
claude_one_example,15,0.6952714535901926
claude_one_example,11,0.7213663764233088
claude_one_example,10,0.7689331122166944
claude_one_example,12,0.7481789802289281
claude_one_example,13,0.7548387096774194
claude_one_example,8,0.7738037699371677
claude_one_example,9,0.7258852258852259
claude_one_example,4,0.7325842696629213
claude_one_example,5,0.7614468864468864
claude_one_example,7,0.7599080987937966
claude_one_example,6,0.7319641916798315
claude_one_example,3,0.737603305785124
claude_one_example,1,0.7096057745696835
claude_one_example,18,0.7437629937629938
claude_one_example,19,0.7178447276940904
gpt_refine_complex,17,0.7470817120622568
gpt_refine_complex,16,0.6234957020057307
gpt_refine_complex,14,0.7277147487844409
gpt_refine_complex,15,0.5896088733216579
gpt_refine_complex,11,0.6617548559946417
gpt_refine_complex,10,0.6733001658374793
gpt_refine_complex,12,0.6789802289281998
gpt_refine_complex,13,0.6799007444168734
gpt_refine_complex,8,0.6128564523924601
gpt_refine_complex,9,0.9865689865689866
gpt_refine_complex,4,0.7578651685393258
gpt_refine_complex,5,0.7532051282051282
gpt_refine_complex,7,0.7645031591039633
gpt_refine_complex,6,0.6640337019483938
gpt_refine_complex,2,0.6761811023622047
gpt_refine_complex,3,0.6105371900826446
gpt_refine_complex,1,0.7440310938367574
gpt_refine_complex,18,0.8087318087318087
gpt_refine_complex,19,0.6152954808806489
EasyOCR,17,0.8449138410227904
EasyOCR,16,0.8303724928366762
EasyOCR,14,0.8146947595894112
EasyOCR,15,0.8347927612375948
EasyOCR,11,0.9062290689886136
EasyOCR,10,0.7993366500829188
EasyOCR,12,0.840270551508845
EasyOCR,13,0.8069478908188585
EasyOCR,8,0.7955534074432092
EasyOCR,9,0.8583638583638583
EasyOCR,4,0.8921348314606742
EasyOCR,5,0.8058608058608059
EasyOCR,7,0.8782309017805858
EasyOCR,6,0.8051606108478147
EasyOCR,2,0.8174212598425197
EasyOCR,3,0.8166322314049587
EasyOCR,1,0.8806218767351471
EasyOCR,18,0.7941787941787942
EasyOCR,19,0.8093858632676709
