model,id,cer
gpt_one_example,17,0.7415230683713174
gpt_one_example,16,0.7289398280802293
gpt_one_example,14,0.7217720151269584
gpt_one_example,15,0.7180385288966725
gpt_one_example,11,0.7997320830542531
gpt_one_example,10,0.7274737423991156
gpt_one_example,12,0.700312174817898
gpt_one_example,13,0.6907011437095972
gpt_one_example,8,0.6726305609284333
gpt_one_example,9,0.6550671550671551
gpt_one_example,4,0.6466292134831461
gpt_one_example,5,0.7962454212454212
gpt_one_example,7,0.7518710420264825
gpt_one_example,6,0.7502634351949421
gpt_one_example,3,0.6244834710743802
gpt_one_example,1,0.6985008328706275
gpt_one_example,18,0.7047817047817048
gpt_one_example,19,0.7375434530706837
claude_simple,17,0.7615341856586992
claude_simple,16,0.7346704871060172
claude_simple,14,0.7325769854132901
claude_simple,15,0.7349678925861063
claude_simple,11,0.7267247153382451
claude_simple,10,0.7645107794361525
claude_simple,12,0.7570239334027055
claude_simple,13,0.8045748383888612
claude_simple,8,0.7819148936170213
claude_simple,9,0.7887667887667887
claude_simple,4,0.9202247191011236
claude_simple,5,0.7751831501831502
claude_simple,7,0.7633851468048359
claude_simple,6,0.7692307692307693
claude_simple,2,0.7662401574803149
claude_simple,3,0.7567148760330579
claude_simple,1,0.7279289283731261
claude_simple,18,0.7468814968814969
claude_simple,19,0.7560834298957126
TrOCR,17,0.9794330183435241
TrOCR,16,0.9587392550143267
TrOCR,14,0.9854132901134521
TrOCR,15,0.9830706363105662
TrOCR,11,0.9899531145344943
TrOCR,10,0.9723604201216142
TrOCR,12,0.9417273673257024
TrOCR,13,0.973644952759821
TrOCR,8,0.9922630560928434
TrOCR,9,0.9664224664224664
TrOCR,4,0.9735955056179775
TrOCR,5,0.9610805860805861
TrOCR,7,0.9706390328151986
TrOCR,6,0.9841938883034773
TrOCR,2,0.9478346456692913
TrOCR,3,0.981404958677686
TrOCR,1,0.9805663520266519
TrOCR,18,0.9781704781704782
TrOCR,19,0.966396292004635
Pytesseract,17,0.7787659811006115
Pytesseract,16,0.7753581661891118
Pytesseract,14,0.7893030794165316
Pytesseract,15,0.7600700525394045
Pytesseract,11,0.8131279303415941
Pytesseract,10,0.7855168601437258
Pytesseract,12,0.7840790842872009
Pytesseract,13,0.783689706613625
Pytesseract,8,0.7659574468085106
Pytesseract,9,0.7753357753357754
Pytesseract,4,0.7808988764044944
Pytesseract,5,0.7756410256410257
Pytesseract,7,0.7990788716177317
Pytesseract,6,0.7908324552160169
Pytesseract,2,0.7918307086614174
Pytesseract,3,0.7763429752066116
Pytesseract,1,0.8234314269850084
Pytesseract,18,0.761954261954262
Pytesseract,19,0.7676709154113557
claude_refine_complex,17,0.736520289049472
claude_refine_complex,16,0.6309455587392551
claude_refine_complex,14,0.5764451647757969
claude_refine_complex,15,0.5931115002918855
claude_refine_complex,11,0.7193569993302076
claude_refine_complex,10,0.7053620784964069
claude_refine_complex,12,0.740894901144641
claude_refine_complex,13,0.6414719045251119
claude_refine_complex,8,0.6441005802707931
claude_refine_complex,9,0.7472527472527473
claude_refine_complex,4,1.0702247191011236
claude_refine_complex,5,0.7655677655677655
claude_refine_complex,7,1.160621761658031
claude_refine_complex,6,0.7486828240252897
claude_refine_complex,2,0.6456692913385826
claude_refine_complex,3,0.7246900826446281
claude_refine_complex,1,1.0899500277623542
claude_refine_complex,18,0.5816008316008316
claude_refine_complex,19,0.6332560834298957
gpt_complex,17,0.7415230683713174
gpt_complex,16,0.7489971346704871
gpt_complex,14,0.6234467855213398
gpt_complex,15,0.968476357267951
gpt_complex,11,0.6068318821165438
gpt_complex,10,0.7495854063018242
gpt_complex,12,0.7273673257023934
gpt_complex,13,0.60964694181999
gpt_complex,8,0.6397485493230174
gpt_complex,9,0.6709401709401709
gpt_complex,4,0.6331460674157303
gpt_complex,5,0.8127289377289377
gpt_complex,7,0.694300518134715
gpt_complex,6,0.6116965226554267
gpt_complex,2,0.7376968503937008
gpt_complex,3,0.6497933884297521
gpt_complex,1,0.7373681288173237
gpt_complex,18,0.7297297297297297
gpt_complex,19,0.6095017381228274
claude_two_example,17,0.7276264591439688
claude_two_example,16,0.7186246418338109
claude_two_example,14,0.7212317666126418
claude_two_example,15,0.7162872154115587
claude_two_example,11,0.7220361687876758
claude_two_example,10,0.7694859038142621
claude_two_example,12,0.7341311134235172
claude_two_example,13,0.7439085032322228
claude_two_example,8,0.7703094777562862
claude_two_example,9,0.7271062271062271
claude_two_example,4,0.7224719101123596
claude_two_example,5,0.7573260073260073
claude_two_example,7,0.7564766839378239
claude_two_example,6,0.7460484720758693
claude_two_example,1,0.7034980566352027
claude_two_example,18,0.7427234927234927
claude_two_example,19,0.7114716106604867
TrOCR20,17,0.7559755419677598
TrOCR20,15,0.7367192060712201
TrOCR20,11,0.7387809778968519
TrOCR20,10,0.7589828634604754
TrOCR20,12,0.7606659729448492
TrOCR20,13,0.7707608155146694
TrOCR20,9,0.7435897435897436
TrOCR20,4,0.7522471910112359
TrOCR20,5,0.7733516483516484
TrOCR20,7,0.7507196315486471
TrOCR20,6,0.7629083245521602
TrOCR20,2,0.7662401574803149
TrOCR20,3,0.7675619834710744
TrOCR20,20,0.7449664429530202
TrOCR20,18,0.762993762993763
TrOCR20,19,0.7514484356894554
gpt_two_example,17,0.6481378543635353
gpt_two_example,16,0.6521489971346704
gpt_two_example,14,0.6785521339816315
gpt_two_example,15,0.712784588441331
gpt_two_example,11,0.7655726724715338
gpt_two_example,10,0.6965174129353234
gpt_two_example,12,0.6997918834547346
gpt_two_example,13,0.662357036300348
gpt_two_example,8,0.687137330754352
gpt_two_example,9,1.156898656898657
gpt_two_example,4,0.6589887640449438
gpt_two_example,5,0.6437728937728938
gpt_two_example,7,1.0656303972366148
gpt_two_example,6,0.6923076923076923
gpt_two_example,1,0.6812881732370905
gpt_two_example,18,0.6777546777546778
gpt_two_example,19,0.6558516801853997
KerasOCR,17,0.7987770983879934
KerasOCR,16,0.8068767908309455
KerasOCR,14,0.8271204754186926
KerasOCR,15,0.8038528896672504
KerasOCR,11,0.7903549899531145
KerasOCR,10,0.8308457711442786
KerasOCR,12,0.7986472424557752
KerasOCR,13,0.8234709099950274
KerasOCR,8,0.8375241779497099
KerasOCR,9,0.8003663003663004
KerasOCR,4,0.7786516853932585
KerasOCR,5,0.825091575091575
KerasOCR,7,0.7823834196891192
KerasOCR,6,0.8103266596417281
KerasOCR,2,0.8100393700787402
KerasOCR,3,0.8166322314049587
KerasOCR,1,0.7895613548028872
KerasOCR,18,0.8238045738045738
KerasOCR,19,0.8227114716106605
claude_complex,17,0.6259032795997777
claude_complex,16,0.6263610315186247
claude_complex,14,0.5586169638033496
claude_complex,15,0.5685931115002919
claude_complex,11,0.6121902210314802
claude_complex,10,0.6008844665561084
claude_complex,12,0.6482830385015609
claude_complex,13,0.6389855793137742
claude_complex,8,0.695357833655706
claude_complex,9,0.6111111111111112
claude_complex,4,0.6241573033707866
claude_complex,5,0.6396520146520146
claude_complex,7,0.6637881404720783
claude_complex,6,0.6385669125395153
claude_complex,2,0.6353346456692913
claude_complex,3,0.609504132231405
claude_complex,1,0.6329816768461966
claude_complex,18,0.5847193347193347
claude_complex,19,0.5753186558516802
gpt_simple,17,0.9216231239577543
gpt_simple,16,0.977650429799427
gpt_simple,14,0.8627768773635872
gpt_simple,15,0.9532983070636311
gpt_simple,11,1.4963161419959812
gpt_simple,10,0.7788833609729132
gpt_simple,12,0.8428720083246618
gpt_simple,13,0.8503232222774739
gpt_simple,8,0.9647001934235977
gpt_simple,9,0.7368742368742369
gpt_simple,4,0.9438202247191011
gpt_simple,5,0.8205128205128205
gpt_simple,7,0.8272884283246977
gpt_simple,6,0.809799789251844
gpt_simple,2,1.0191929133858268
gpt_simple,3,0.8734504132231405
gpt_simple,1,0.8028872848417545
gpt_simple,18,0.9688149688149689
gpt_simple,19,0.7757821552723059
claude_one_example,17,0.7309616453585325
claude_one_example,16,0.7180515759312321
claude_one_example,14,0.7201512695840087
claude_one_example,15,0.6900175131348512
claude_one_example,11,0.7113194909578031
claude_one_example,10,0.7600884466556108
claude_one_example,12,0.736732570239334
claude_one_example,13,0.7518647439085032
claude_one_example,8,0.7746615087040619
claude_one_example,9,0.7173382173382173
claude_one_example,4,0.7252808988764045
claude_one_example,5,0.7573260073260073
claude_one_example,7,0.7524467472654001
claude_one_example,6,0.7233930453108536
claude_one_example,3,0.7308884297520661
claude_one_example,1,0.7068295391449195
claude_one_example,18,0.7354469854469855
claude_one_example,19,0.7079953650057937
gpt_refine_complex,17,0.7415230683713174
gpt_refine_complex,16,0.6212034383954155
gpt_refine_complex,14,0.7212317666126418
gpt_refine_complex,15,0.5820198482194979
gpt_refine_complex,11,0.652377762893503
gpt_refine_complex,10,0.6705362078496406
gpt_refine_complex,12,0.6685744016649323
gpt_refine_complex,13,0.6713078070611636
