,Model,WER
0,gpt-4o,0.9033742331288344
1,gpt-4o,0.8968944099378882
2,gpt-4o,0.9840525328330206
3,gpt-4o,0.9185750636132316
4,gpt-4o,0.9129032258064517
5,gpt-4o,0.904610492845787
6,gpt-4o,0.9769585253456221
7,gpt-4o,0.9313929313929314
8,gpt-4o,0.952925353059852
9,gpt-4o,0.8877697841726618
10,gpt-4o,0.8966521106259098
11,gpt-4o,0.9046849757673667
12,gpt-4o,0.9757412398921833
13,gpt-4o,0.9010416666666666
14,gpt-4o,0.9584664536741214
15,gpt-4o,0.9718543046357616
16,gpt-4o,0.9224283305227656
17,gpt-4o,0.9252717391304348
18,gpt-4o,0.8714285714285714
19,gpt-4o,0.8942307692307693
20,claude-3-5-sonnet-20240620,0.8072519083969466
21,claude-3-5-sonnet-20240620,0.7676056338028169
22,claude-3-5-sonnet-20240620,0.8359046283309958
23,claude-3-5-sonnet-20240620,0.881203007518797
24,claude-3-5-sonnet-20240620,0.8454172366621067
25,claude-3-5-sonnet-20240620,0.8137432188065099
26,claude-3-5-sonnet-20240620,0.6906666666666667
27,claude-3-5-sonnet-20240620,0.8031088082901554
28,claude-3-5-sonnet-20240620,0.7283236994219653
29,claude-3-5-sonnet-20240620,0.8127753303964758
30,claude-3-5-sonnet-20240620,0.8913385826771654
31,claude-3-5-sonnet-20240620,0.867231638418079
32,claude-3-5-sonnet-20240620,0.7936507936507936
33,claude-3-5-sonnet-20240620,0.852112676056338
34,claude-3-5-sonnet-20240620,0.8476052249637155
35,claude-3-5-sonnet-20240620,0.8500687757909215
36,claude-3-5-sonnet-20240620,0.7976653696498055
37,claude-3-5-sonnet-20240620,0.8353174603174603
38,claude-3-5-sonnet-20240620,0.7758318739054291
39,claude-3-5-sonnet-20240620,0.8158844765342961
40,EasyOCR,0.9768211920529801
41,EasyOCR,0.975975975975976
42,EasyOCR,0.975975975975976
43,EasyOCR,0.9900662251655629
44,EasyOCR,0.9910979228486647
45,EasyOCR,0.9839743589743589
46,EasyOCR,0.9862542955326461
47,EasyOCR,0.9969040247678018
48,EasyOCR,0.9841269841269841
49,EasyOCR,0.9855595667870036
50,EasyOCR,0.9743589743589743
51,EasyOCR,0.9962962962962963
52,EasyOCR,0.9791666666666666
53,EasyOCR,0.9825783972125436
54,EasyOCR,0.9774436090225563
55,EasyOCR,0.9887640449438202
56,EasyOCR,0.9826388888888888
57,EasyOCR,0.9901639344262295
58,EasyOCR,0.9818840579710145
59,EasyOCR,0.98046875
60,Pytesseract,0.0
61,Pytesseract,0.0
62,Pytesseract,0.0
63,Pytesseract,0.0
64,Pytesseract,0.0
65,Pytesseract,0.0
66,Pytesseract,0.0
67,Pytesseract,0.0
68,Pytesseract,0.0
69,Pytesseract,0.0
70,Pytesseract,0.0
71,Pytesseract,0.0
72,Pytesseract,0.0
73,Pytesseract,0.0
74,Pytesseract,0.0
75,Pytesseract,0.0
76,Pytesseract,0.0
77,Pytesseract,0.0
78,Pytesseract,0.0
79,Pytesseract,0.0
80,KerasOCR,0.9919354838709677
81,KerasOCR,1.0036101083032491
82,KerasOCR,0.9962825278810409
83,KerasOCR,0.991701244813278
84,KerasOCR,1.0443686006825939
85,KerasOCR,0.9923076923076923
86,KerasOCR,0.9958333333333333
87,KerasOCR,1.064748201438849
88,KerasOCR,0.9906103286384976
89,KerasOCR,1.040909090909091
90,KerasOCR,0.9950248756218906
91,KerasOCR,1.1447963800904977
92,KerasOCR,1.0073260073260073
93,KerasOCR,0.9958333333333333
94,KerasOCR,1.0
95,KerasOCR,0.991304347826087
96,KerasOCR,0.9869565217391304
97,KerasOCR,0.9881889763779528
98,KerasOCR,1.0
99,KerasOCR,0.9855072463768116
100,trOCR,23.0
101,trOCR,46.5
102,trOCR,12.714285714285714
103,trOCR,28.875
104,trOCR,62.4
105,trOCR,12.894736842105264
106,trOCR,36.0
107,trOCR,21.857142857142858
108,trOCR,64.66666666666667
109,trOCR,21.0
110,trOCR,17.0
111,trOCR,51.2
112,trOCR,13.095238095238095
113,trOCR,18.23076923076923
114,trOCR,41.8
115,trOCR,36.166666666666664
116,trOCR,13.9375
117,trOCR,35.285714285714285
118,trOCR,21.7
119,trOCR,15.23076923076923
